电影名,评分,短评数量,评论1,评论2,评论3,评论4,评论5,排名
肖申克的救赎,9.7,1897620,当年的奥斯卡颁奖礼上，被如日中天的《阿甘正传》掩盖了它的光彩，而随着时间的推移，这部电影在越来越多的人们心中的地位已超越了《阿甘》。每当现实令我疲惫得产生无力感，翻出这张碟，就重获力量。毫无疑问，本片位列男人必看的电影前三名！回顾那一段经典台词：“有的人的羽翼是如此光辉，即使世界上最黑暗的牢狱，也无法长久地将他围困！”,不需要女主角的好电影,恐惧让你沦为囚犯，希望让你重获自由。——《肖申克的救赎》,“这是一部男人必看的电影。”人人都这么说。但单纯从性别区分，就会让这电影变狭隘。《肖申克的救赎》突破了男人电影的局限，通篇几乎充满令人难以置信的温馨基调，而电影里最伟大的主题是“希望”。当我们无奈地遇到了如同肖申克一般囚禁了心灵自由的那种囹圄，我们是无奈的老布鲁克，灰心的瑞德，还是智慧的安迪？运用智慧，信任希望，并且勇敢面对恐惧心理，去打败它？经典的电影之所以经典，因为他们都在做同一件事——让你从不同的角度来欣赏希望的美好。,策划了19年的私奔……
黑客帝国,9.0,520974,果真没让我失望~频频赞叹1999年人家的思维人家的意识而咱都2012了还是爱构思古装穿越剧。。。,其中的哲学影响我的哲学道路,有没有可能整个世界都是电脑模拟出来的，我们以及我们周围的一切也只是电脑中的一串代码？“你和所有人一样，生来就是奴隶，你生在一座自己感知不到的监狱”这种猜想已经足够震撼人心，但《黑客帝国》的深度还不止于此，它还在这个基础上提出了新的问题：你会选择蓝药丸还是红药丸？是选择美好的虚幻还是残酷的现实？表面上好像很好选，其实比我们想象中困难得多。一边是未来的末日世界，被饥饿和寒冷所摧残，还要面临被机器人追杀的危险；一边是温馨和平的年代，有蓝天白云、良辰美景，甚至还有成为成功人士的机会。的确，所有人都知道梦境再美好也只是梦境。但塞弗就是愿意为了区区一个梦境出卖所有人。假如我们真的逃出矩阵，体验到现实的残酷，也许我们会做出和塞弗相同的选择。正如当你做了美梦的时候，你宁愿继续留在梦里，不愿醒来。,真是沧海桑田：那时候基努-里维斯还是清瘦小嫩肉，沃卓斯基姐弟还是沃卓斯基兄弟，诺基亚还是业界老大。,一部蕴含丰富哲理的科幻巨制，袁和平的动作指导将东方武学艺术推向全世界，尼奥躲子弹的镜头成为经典~~
勇敢的心,8.9,429097,一句“freedom”煽的我眼泪哗哗的,有时候男人的一句嘶吼也可以让人流泪,那时候的史诗片拍的多好，90年代的大片就应该是这样的。,所有的人都会死，但并不是每一个人都活的有意义。,freedom
机器人总动员,9.3,919507,这是一只安卓和苹果的故事么。。,把所有的好东西都给eva,很久没看过这么可爱的动画片了。瓦力什么都不会说，除了那一声声执拗的：Eve！他们在星空画出美丽的弧线，他们无意间守候了一份真正的爱情。,乡下文艺小伙儿追求都市女精英的故事……以及……,我看哭了。。。
鬼子来了,9.2,420561,陆川快来学习一下牛叉电影是怎么回事吧，不卑不亢不装逼，爱姜文,一刀刘、二脖子、马大三、四表姐夫、五舅姥爷、六旺、七爷、八婶子、小碌碡...,“你是我的爷，我是你的儿！”这辈份够乱的,十部南京也抵不过一部鬼子来了。,从此，“大哥大嫂过年好”在耳边经久回荡……
一一,9.0,237645,“电影发明以后，人类的生命至少比以前延长了三倍”，当我觉得自己已经看了两个小时，一拉进度条发现才过了三十几分钟的时候，我深刻地理解到了这句话,如果电影都是过生活，那我们就过生活就好了,婆婆，对不起，不是我不喜欢跟你讲话，只是我觉得我能跟你讲的你一定老早就知道了。不然，你就不会每次都叫我“听话”。就像他们都说你走了，你也没有告诉我你去了哪里，所以，我觉得，那一定是我们都知道的地方。婆婆，我不知道的事情太多了，所以，你知道我以后想做什么吗？我要去告诉别人他们不知道的事情，给别人看他们看不到的东西。我想，这样一定天天都很好玩。说不定，有一天，我会发现你到底去了哪里。到时候，我可不可以跟大家讲，找大家一起过来看你呢？婆婆，我好想你，尤其是我看到那个还没有名字的小表弟，就会想起，你常跟我说：你老,我这样说好了，你不在的时候，我有个机会去过了一段年轻时候的日子，本来以为我再活一次的话也许会有什么不一样，结果还是差不多，没什么不同。只是突然间觉得，再活一次的话，好像真的没那个必要。真的没那个必要……★★★★★★,"看似平淡无奇,其实蕴含深意"
猫鼠游戏,9.0,519404,艾米·亚当斯演了一个牙套妹,他离家出走，说谎，制造不同的身份开始光鲜亮丽的生活。他是智商超群的罪犯，但是他只是个孤独的孩子。在平安夜的时候打电话给抓他的警探，在平安夜被捕的时候拥抱着他说圣诞快乐，在听到父亲的死讯以后失声痛哭，看到妈妈的新家庭以后对来抓他的警察说你们带我走吧。他终究只是个孩子。,能让巨骗进FBI，这份惜才的胸襟才是一个民族强大的原因。,事实证明，聪明的头脑永远可以赚钱。,我只想说，02年小李还是尖脸呢。
剪刀手爱德华,8.7,766765,除了JohnnyDepp还能有谁能有那样的眼神？,就让我相信全世界的雪都是爱德华下的吧。,有时候卑劣的人性才是剪刀。,感觉情绪还没酝酿好就结束了。失望。,蒂姆伯顿电影中的大部分人物智商都为负值。
三傻大闹宝莱坞,9.2,1279856,看了这部电影是我2010年最幸运的一件事力荐！,"【温馨提示：请忽略这傻逼名字.不然你会错过一部好电影】1、病毒的鸟巢飞来了一只自由之鸟；2、Ta有没有告诉你,朋友就是给你一枚硬币教你自己独立做出选择的那个人.这个人才是你最大的财富：）",这几个月来看过的最好的片——”做自己“，也许才是人生终极的成功。别总嘲笑印度人”阿三“，他们已经追上来了，无论经济、科技还是我们一贯认为只会跳舞唱歌的宝莱坞电影。盛赞！5+1星！,你们都说好看，我也就觉得一般般,当你不断追求卓越，成功就会不知不觉追赶你。害怕明天，怎能过好今天呢？心很脆弱，我们要学会哄它。鸡不会知道蛋的前程。学习是为了完善人生，而非享乐人生。只为生命而感激。朋友失败，你难过，朋友成功，你更难过。一切顺利。
天空之城,9.1,576142,多年后重看天空之城才能更加明白，宫崎骏对细节的处理的用心不仅仅是一时的感动你，宫崎骏能通过他的作品来让你逐渐明白生活的可贵，来明白爱与和平的作用。但就……还是早恋！,我看这部一直会哭，看了几次哭了几次，也不知道为了什么。总之，一看到手臂长长的铁皮人寂寥的站在那座城中，就控制不住了。,不看人生不圆满!!!宫爷爷的所有电影都是!,好电影从来都不会因为岁月的流逝而失去它的味道，反而会越来越香醇，一如地窖里的酒。久石让的音乐堪称完美，画面虽是手绘，但亲切感十足，故事背景细节丰富，人物刻画生动，还有区别于一般动画的深刻主题。★★★★☆,我愿意给10颗星！！！！！！！！！！
侧耳倾听,8.9,303145,原来图书卡寻人是这里来的呀。他们的城市是立体的，真漂亮，恋爱要翻山越岭才行。电影几乎集结了所有少女时代的美好回忆，完美、理想到失真，像一个斑斓的气泡，害怕一伸手就会破碎…乱糟糟的书桌，伸手摸来摸去就是摸不到台灯开关，生活中的细节被它完整地还原，似曾相识，却不属于我…,喜歡《夢幻街少女》的男孩值得託付終生。,"...................如果不是片尾的一句""你愿意嫁给我吗""我愿意打五星",我爱死青涩的恋爱的感觉了~~~~~,这是一个我早已错过的故事，我没有在十五岁看到它，我早已进入了不用借书卡的年代。现实中，只有我一个人与图书馆天荒地老。即便如此，我还是感谢它赐予我的全部勇气。|一五年夏去了多摩市。走在コンクリートロード上，山雨欲来，穿过长长长长的階段，从来没有觉得他们如此真实过。
钢琴家,9.1,342232,最刺痛的是那被直接丢出阳台的坐轮椅的老人,影片的结尾让整个故事的基调上升了几个层次，这并不是一部简单的反映二战反映犹太人与纳粹的影片。人性是很美的，当然，人生的际遇变幻各有轮回,从此就喜欢上Adrien那张驴脸了,如果说它想反映纳粹的残酷，那一点都不算残酷；如果它想反映主角的坚韧性命，那只能说他是运气好；反而我倒挺同情那个最后就他一命的德国人的。。。我想用ridiculous来形容，可以么？,前半段一直觉得很沉重后半段直接被我当腐片看了（跪。。。我爱德国军官攻。。给犹太钢琴师送食物和大衣神马的，结果最后连名字也没留下死在俄国战俘营了。另：纳粹军装真的太好看了！
海蒂和爷爷,9.2,221625,人至善，景至美，故事细腻，淳朴动人，人生本该如此，温情永存，何惧苦难？,有生之年不去瑞士还有啥可活？,难怪看到片名有种莫名的熟悉感，看正片后才知道这与高畑勲导演、宫崎骏担任场面设定的动画片《阿尔卑斯山的少女》改编自同小说《海蒂》，简直惊喜到不行。……故事温情脉脉，风景怡情养目，一段醉我心脾的观影历程。……有时，我以为看过几千部电影，会审美疲劳，可当碰到心仪之作依然能看得身心愉悦。,成功之处在于每个角色都很立体，都有优点缺点，海蒂不守规矩却天真可爱，克劳拉自私骄纵却优雅美丽，皮特淘气却耿直，爷爷脾气古怪却默默付出，女管家严厉却谨慎。山里的人没有那么朴实无华，“宫殿”里的人也没那么惟利是图。,人老了，由頭哭到尾。
楚门的世界,9.3,1017329,“如果再也不能见到你，祝你早安，午安和晚安。”,我是不是也在楚门的世界活着？,"Goodmorning,andincaseIdon'tseeya,goodafternoon,goodevening,andgoodnight!",原来植入广告那都是人家美国人玩剩下的玩意儿……,每个人都向往自由而不仅仅是安定
何以为家,9.1,576423,在小男孩视角为主导的戏份中充分展示了拉巴基的执导能力，尤其是中后段小男孩和黑娃在街头的戏，高难度的拍摄环境和条件竟然拍得毫无痕迹以至于造成纪录片的错觉，的确厉害。但是剧作上又实在糟糕，法庭戏难以直视，黑人母亲视角画蛇添足，刻意的煽情戏更是把整部片往下拽了几个档次。,见过游乐园女神被扒光，洗过沾了鲜血的衣服，听过蜘蛛侠变成蟑螂侠的传闻。才知道美丽会变丑陋，纯净会变脏臭，英雄泯然众人，自己却无能为力。把童贞交给世界，用匕首刺穿丑陋，靠起诉状告父母，挤笑脸嘲弄命运。赞恩把婴儿交给男人，才明白自己谁都保护不了。他就站在破败的街角，仿佛人生走到尽头。,生，继续生，越穷越要生，扔在地上嚎两年，能走路能说话也就能干活了。大的带小的，小的带更小的，再养几年就能送出去打工了。男孩传宗接代，女孩能挣彩礼钱，生那么多个，总有一个出息的，吃牢他，吃牢她！生！凭什么不生？,拍给生育癌看的。我就不说卖惨了，因为是真惨。善良而倔强的叙利亚小男孩，默默把全世界扛在瘦弱的肩上，拖着生活往前走。最后他露出全片唯一一个微笑我一下就泪奔了。孩子永远是我的软肋，我给你五星还不行么...,在这里，女孩是一种商品，可以换钱；男孩是一种工具，负责养家糊口、照顾更小的小孩。父母只管生，不管养，将孩子当做摇钱树和免费劳动力。他们不但不能给孩子带来快乐，只会给他们带来苦难和折磨。现在做什么都要考证，做父母却不需要考证。然而并不是所有人都配当父母，也并不是生了孩子就自动成为妈妈。他们只图一时的快活，让孩子跟着他们来到这个世界一起受苦，他们根本不配做父母。如果不能给予孩子幸福，当初就不应该把他们生下来。他们是你的孩子，但他们更是他们自己，他们有自己的人格和思想，不应该被虐待，更不应该被贩卖。父母有管教孩子的义务，孩子也有权利将父母告上法庭。赞恩什么都不要，他只要父母别再生了。因为一个人在还没有学会如何做一名合格的父母之前，Ta不配拥有孩子，更不配当爸爸（妈妈）。
小森林 冬春篇,9.0,241028,“她这么辛苦种田就是为了每天这么吃啊？”“对啊，人生不就是这样吗！”,真希望变成晨间剧啊，每天都想看到,有人说装逼呀什么的我人生就得加一味装逼,完全抹去了互联网时代的痕迹，联络仅靠寥寥书信，甚至电视机的画面都不易见。人物们不玩手机不发短信、不上推特晒图朋友圈发吃，只自己默默耕种、收获、烹饪、享用。抱着电脑手机看了部片子就说日本农民很优雅？先别忙着叶公好龙、去浪漫化乡村生活。抱着审美心态，在任何地方都无法承受生活的真面目。,昨晚做草莓酱的时候，幻想女主上身。
本杰明·巴顿奇事,8.9,671394,你前进，我倒退，我们爱对方整整一个曾经。,你可以像疯狗那样对周围的一切愤愤不平，你可以诅咒命运，但是等到最后一刻到来之时，你还得平静的放手而去。每个人在某种程度上都对自己有不同的认识，但是我们最后都会去往同一个地方。只是走的路不同罢了。你也有属于你的道路。,有种莫名的伤感。我们总会失去所爱之人，要不，怎么会感到他们有多重要呢。,"我们像婴儿一般来到这个世上,又像婴儿般安详的离去.留下的,也许都在最后与心爱的人眼神交汇那一个瞬间,从眼前飞逝而过的所有故事吧.",细节成功，但缺乏整体性。
大话西游之月光宝盒,9.0,809696,2000年。周星星结尾背着金箍棒转身时看得流眼泪。,对我们这代人影响最大的电影。寓言故事已然存在，不可避免。世界是巨大的枷锁，你不得不重复自己或是别人的生活。台词：你看那个人的背影好奇怪，他好像条狗啊。,神马乱七八糟的。。。过度被神化了的作品。80后们的爱情灵感居然是被这样混乱无厘头的一部剧都激发出来的。。。囧,一遍烂，两遍笑，三遍哭。盘丝大仙给了三颗痣，斧头帮主翻过照妖镜，看着镜中的猴子，此处的配乐足够震撼,大话西游是一代人心中的经典.
阿凡达,8.7,907380,钉子户大战城管in3D,当所有美国大片都开始炫耀自己的视觉效果时，詹姆斯卡梅隆只是坐在阴暗的角落里冷笑，然后抛出这么一部让所有人感慨“操，真他妈牛逼啊！”的电影。,JamesCameron闭上眼，全是电影的明天。,抱歉，2012？在Avatar面前不过是小儿科！只有一句话：这是史上最强科幻！可恶的卡梅隆，你要让未来十年的所有科幻片都味同嚼蜡了！因为所有观众的审美标准已经一口气被你提高了几个档次！这部电影，不去剧院看绝对一辈子后悔最后，感谢上帝赐给我们一个JamesCameron,阿凡达同时也揭示了女人的悲惨命运，主角与他的空中坐骑即是说明这个问题：选择她，她挣扎，插入她，她被俘获，甘心被他骑一辈子，众叛亲离之时，只有她在身边，魅影出现以后，她消失无踪，他再也没有寻找与过问。
放牛班的春天,9.3,891167,那漫天飘扬的纸飞机是我对你最诚挚的敬意。,纸飞机+挥动的小手——那一刻，什么都值了,这是一次心灵的洗礼，没人生本向恶，只是无情的手把人推向了无尽的深渊。Morhange每一次天使般的独唱，总让我感动的浑身直起鸡皮疙瘩，特别是那纸飞机从窗口飞出，“感谢、再见”的小手一挥，那份感动，不言而喻。而最重要的，看这部电影不仅是好“看”，天籁的童声更是听觉的享受。★★★★☆,一个孩子在启蒙时期，能够遇到一位好的老师，真的是一件非常幸运的事情。,星期六，贝贝抱着小熊跟马修老师回家了！QwQ
大鱼,8.8,398207,小王子说：“因为有一朵我们看不到的花儿，星星才显得如此美丽。沙漠之所以美丽，是因为沙漠的某处藏着一口井。”波顿说：“他说故事，因为他无法忍受这无趣的地方。”这片子是献给在现实世界中迷失、畏首畏尾、丢失了童年时代欢愉梦想的人，那条游向远方的大鱼是我们对美的向往。,在这世界上，只有在你所爱的人之外，才需要辨别所谓真假。生活中的事，有种种说法。所谓真相，可能是最令人乏味最让人难以接受的。而在生活外表涂上彩虹颜色的人，他们值得尊重和信赖，因为他们的爱。,孪生姐妹不是连体，巨人没有那么高，他妈妈在葬礼上穿的是大红的外套,这个叫蒂姆·波顿的人，身体里住着大鱼爸爸(BigFish)、剪刀手爱德华(EdwardScissorhand)、威利·旺卡(WillyWonka)和疯帽子先生们的灵魂。,我怎么没有感动？因为我没有父亲。
看不见的客人,8.8,774638,跟媳妇一起看的。看到一半的时候说了句最毒妇人心，指的那个情妇。后来看完，我媳妇特别藐视我，说了句男人都不是个好东西后睡了~。。我一脸尴尬~。。。总之。。。这是个好电影。,现在能有意外结局还让人颠覆的故事，真的很难得了。结局半小时的反转再反转，能自圆其说，能刷新认识，能大呼过瘾，对一部悬疑推理片来说已经完成的相当漂亮。不会苛求太多，这样的故事和设定已经满足。,好看，强烈推荐。问题是如此重要的辩护人竟然不是当面引荐的。,大爷大妈智商这么高家里娃却蠢到开车不系安全带还tm发短信。。,律师是假扮的这个梗其实倒是不难猜。不过这不是重点。重点在于“叙述”和“真相”的关系。在缺乏物证链条的基础上，男主的每一次叙述其实都是自洽且成立的，但或许也都不是真的。这一点才真的引人深思。我们所认定和掌握的真相，又有多少是被叙述掌控的呢？
哈尔的移动城堡,9.0,656842,哈尔是个大帅哥。,目前为止觉得哈尔是宫崎骏作品里最帅的男角,看了这个电影就想要一个家。擦地板，在阳光下面放上铺着干净桌布的餐桌，还有照顾小火苗，就如同守护爱人的心一般。,虽然它确实不如宫崎骏的很多作品，也不是最受欢迎的，但却是我最爱。每次响起俩人初遇时在屋顶跳跃的那段音乐，都觉得莫名的悲伤。也正是因为这种感觉，它才是最爱。,你的头发染上了星光的颜色……爱的颜色……
天使爱美丽,8.7,736713,艾米丽扶着那个盲老头走过马路和天桥和无数商店，飞快地告诉他自己看到了什么，然后又像天使一样离开。,其实我也经常做这样的事情，为什么拍成电影就有人赞好，现实当中被当成白痴,左上唇，右脸颊，左眼，右后脖颈。,配乐大好，剪辑大好.别的不够好.至少不对胃口到现在只对片子最开始的部分也即艾米莉的自述印象深刻了尝试做爱如何，但是感觉不太好.那个微笑的表情,有没有人觉得和重庆深林里的王菲有点相似？
星际穿越,9.3,1029922,你应该敬畏时间，因为那是一切的密码；但不要滥用爱意，因为那不是一切的钥匙。,诺兰说：如果我活得够长那么豆瓣TOP250就被我承包了。,以地球全部北京化（咦？）为背景的近未来硬科幻，对虫洞、重力和时间维度都有新颖的理解，刻画的浩瀚宇宙让人目眩。可惜诺兰的野心太大（真的是biggerthanbigger！），而且把人性拔那么高，到最后就成太空神棍片了...,时间可以伸缩和折叠，唯独不能倒退。你的鹤发或许是我的童颜，而我一次呼吸能抵过你此生的岁月。,一边太空冒险，一边是通俗的情感戏。无论外表多硬科幻：虫洞、黑洞、太空冒险、多维空间……最核心的仍是亲情与爱。科学与理论其实都是为感情服务的，用很硬的外壳包裹最柔软的情感。也因为此，它不会是2001那样严肃伟大的科幻片，但却有更饱满的感情。包括那些泪点
阳光姐妹淘,8.8,433428,再多各自牛逼的时光，也比不上一起傻逼的岁月。,再多分开牛逼的岁月，也比不上一起傻逼的时光。这个电影必须要看。。。,但是，如果她们都没有钱，故事还能顺利的展开、完美的收场吗,一起哭，一起笑，一起疯，一起闹，一起尽情折腾我们的人生，即使老去也有最美最好的青春可以一起祭奠。,其实片子的问题很多，表演过度，两组时空变化有时会很牵强且情节有断。不过仍然被感动了，回忆跟青春真是一辈子也不会烂的催泪神技啊！熟悉的旋律，友情与爱情。结尾收的也好，终于没有韩片尾大不掉的毛病了，适时而止反而有些回味。
让子弹飞,8.8,1090907,因为对《让子弹飞》吹捧得无耻到惊世骇俗的地步，本短评已被和谐。,叉着腰！牛着屄！嗨起来！,你给我翻译翻译，神马叫做TMD的惊喜！幽默、炫酷、西部片，自恋、隐喻、男性化，黑色、血腥、怪点子，卖腐、露点、性暗示，酒神、荒诞、神经错乱，草莽气息、英雄情结、革命浪漫主义外加一分的孤独。,说姜文用力过猛的那只能说明您受功不够受用不起！影志老师在各方压力下更新短评缓和了语气“姜文导演作品里最差的，远不如《阳光灿烂》和《鬼子来了》。”难道这也是打一星的理由？您明知道阳光灿烂和鬼子来了都是中国影史经典难道在您看来不如经典就是一星？！牛掰就别改短评！,姜文的个人英雄式表达，但拍得流畅热闹，复杂的剧情细节之下，是他坚持的自我，但与鬼子来了相比，他更懂得如何掩藏自己挑战的野心，这些野心都掩藏在了一流的喜剧功夫上。
天堂电影院,9.2,459937,看来我要少看电影了，我的人生才是我经营的重点，电影终究只是电影啊~~,没有结尾的热吻，这部片子就只能是还行,如此美丽，如此悲伤。那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,在中国电影资料馆先看了177分钟版本的导剪版，感觉后半段特别糟心；随后立刻找来124分钟国际版扫了一眼，感叹这片的制片人和国际发行商够牛逼，直接将一个狗血剧剪成了未央歌：爱情无果而终，影院坍塌解体，不完美的完美。,出去闯荡吧，永远不要回来，不要打电话，不要写信。我不要在这里跟你谈话，我要听别人谈论你。。。
大话西游之大圣娶亲,9.2,1005614,看了不下20遍，彻底看伤了。,鲜花虽会凋谢，但会再开。一生所爱，隐约在白云外。苦海翻起爱恨，在世间难逃避命运。相亲竟不可接近，或我应该相信是命运。,其实很伤感,无论是看第三十遍，还是第三十一遍，我都会对着那个寂寥的背影流泪。那落寞的大圣身上烙印着我青春时所有梦想，我们曾以为自己会成为盖世英雄，以为自己是这个世界的唯一，以为爱情专为自己存在，可是渐渐发现自己和别人没有什么不同，当你踏上社会时，总会有人看着你的背影说：看，他好像条狗啊！,一切的闹闹哄哄，只是他在水帘洞躲避风沙那晚做的一个梦。
摩登时代,9.3,184392,惭愧死了，这才是我第一次真正看卓别林的电影。在放映之前我还想，为什么人们要叫他“大师”？不就是一个演员么。结果几秒以后，字幕上映，导演，编剧，主演，甚至音乐配乐都是卓别林创作的。我完全被震撼，真的是大师啊……这是一部又辛酸又喜剧的片子，对当时的社会不论是在工业，政治，还是生活,人的异化，极富前瞻性，即使放在今天看了依旧有着强烈的现实意义；卓别林是个极为矛盾的个体：一方面，他总是对社会那些最深入肌理的顽疾给予毫不留情的讽刺和抨击；另一方面，他也是个执拗的人性本善论者。,靠，看了才知道，星爷有那么多东西是从这里学来的。,这是卓别林第一部有声片，他尽可能写一个对话剧本，尽可能尝试一次“声音”的实验，然而由于卓别林坚持一贯的“流浪汉”角色，“声音”似乎又与角色不协调。反观，声音又以一种独特的方式呈现，我们听到的机械设备（有声）对人的打压（无声）正符合了电影主题的象征。,如果电影不曾有过卓别林，该会是一个多么无趣的世界。光前30分钟就让我几度笑岔了气。荒谬有理，喜谑至极！
射雕英雄传之东成西就,8.7,442685,张学友让梁朝伟杀他那段，笑翻了,香港缺心眼儿喜剧之最，看100次笑100次～,从来不曾想起，永远不会忘记。,40几遍了吧,刘镇伟哪里比王家卫差？！
海豚湾,9.3,274165,我觉得大部分看本片会有感的人，都不知道，中国的白暨豚已经灭绝8年了，也不会知道，长江里的江豚也仅剩1000左右了。与其感慨，咒骂日本人如何捕杀海豚，不如做些实际的事情，保护一下长江里的江豚吧，没几年，也将绝迹了。中国人做出来的事情，也不会比小日本好到哪儿去。,太煽情太主观,我想知道的是大地村那里的海豚屠宰场现在怎样？关闭了没有？当地的渔民是否还以屠宰海豚谋生？,最具艺术感的纪录片。真相都真的让人难以想象，所以他们还在否认南京大屠杀。,“Allsocialchangecomesfromthepassionofindividuals./所有社會變化都源于個體的激情。”
加勒比海盗,8.7,600395,加勒比海盗这一系列我都特别喜欢，喜欢杰克幽默风趣，顽强，坚韧勇敢，像永远也打不死的小强，还有他的黑珍珠海盗船，太神奇了！,讲个小故事吧，有个小女孩给JohnnyDepp写信，希望他带着他的部下去学校铲除校长，于是JohnnyDepp打电话给学校，让学校把学生带到礼堂，这时候JohnnyDepp带着演员么冲上舞台，全场欢呼。嗯，我爱如此感人的故事,我看了六遍.好不好已经和商业无关了.,放荡不羁的杰克船长，以海为家，以船为马的海盗们，那是属于你们的航海时代，升起骷髅旗，去远航吧！,船长登陆那一段，有点创意。
素媛,9.2,407224,“受过伤害的人总是笑得最开心的，因为他们不愿意让身边的人承受一样的痛苦。”,"""最孤独的人最亲切，受过伤的人总是笑的最灿烂，因为他们不愿让身边的人承受一样的痛苦""从素媛到素望，生活有阳光才有希望，可可梦是全片最治愈点，哭成傻逼。“我总想睡一觉就能回到过去，可早上起来发现，还是没有任何变化，太伤心了...以前奶奶说，哎哟要死要死了，这大概就是人活在世的意义”",太催泪了，素媛和爸爸之间的很多细节都特别感人，素媛住院时，爸爸笨拙的在电脑上搜索“如何和女儿交流”；出院后爸爸悄悄在她床头放上装满糖的小包让她背着来掩盖便袋的声音；还有素媛不再和爸爸亲近，他只能扮成可可梦哄她开心，每次想到笑嘻嘻的可可梦背后是一个无奈的父亲就会觉得特别心酸。,爸爸知道女儿介意排便器的塑料声为她准备装满塑料包装纸的糖果小包，女儿知道一直跟着身后的可可梦是爸爸。,1，现实还是那么恶心，家人和童话让我们活下去。2，如果心灵得不到安慰，再公正的判决也终是悲剧。
熔炉,9.3,615726,媒体越干净，社会越肮脏,想起一级恐惧的片头台词来：想找公平就到妓院，想被人干才到法庭。深雾中到处是颤栗的呻吟。,這個世界的絕望在於，眼睜睜地看著那麼多的不公不平每天都在身邊發生，自己再怎麼努力卻依舊無可奈何；而這個世界的希望也在於，明知是蚍蜉撼大樹，卻還是有那麼一群人執著地選擇了這一條艱難而幾近不可能的路。,。。。套用被嫌弃的松子的一生里面的一句话：生而为人，对不起。,我们无法改变世界，但我们可以选择不被世界改变...
蝙蝠侠：黑暗骑士崛起,8.7,485070,失望到爆！反派为什么反的设定，最后反转的设定，最后拯救的设定，都是那么的普通乃至无趣，甚至连打斗都毫无新意，那些反派配角就是一个个等着轮流给蝙蝠侠打。诺兰导演水准没差，只是这次的编剧编得真的弱到爆炸!,AnneHathaway美得足以把全世界的基佬都掰直，但刚被掰直的基佬们马上又会被囧瑟夫萌弯。,"三部曲，都是关于一次又一次的选择。庞大的人物线索和故事，诺兰已经构造出自己的世界观——我觉得，他是相信黑暗的。Gothamdoesn'tdeserveaherolikethis,buthe'llstillgiveeverythingtothem.另，小丑有且只有一个。（用打一星来表达对脑残粉的蔑视的人可以省省了，你们配吗？","超过TDK不敢说,但永垂影史是扛扛的.",英雄挥别，正气永存；史诗落幕，传奇不朽。漫长黑暗过后，终迎黎明曙光。
