用户名,评分,推荐,内容,评论时间
玄鸟西,5,力荐,"1、3F原则：
       1）Focus（专注）、
       2）Feedback（反馈）、
       3）Fix it（解决它）.

2、大师之路：
      1）产生兴趣、
      2）开始认真、
      3）全力以赴、
      4）开拓创新。
",2019-11-02
黄一一,4,推荐,重复来重复去，但是理论还是不错的，具有可操作性。,2019-11-19
董小琳,5,力荐,刻意练习有四个步骤，分别是：选择合理发展的行业领域，重点是，你选的领域，要有行业发展空间；然后是清醒有意识地投入，认识到自己在做的事情，是自动驾驶，还是有目的学习。之后，我们要制定“跳起来，才可能够得到”的目标，不要呆在舒适区里温水煮青蛙。最后是寻找优秀的导师，高手的策略都是反人性的，和他们接触会让你事半功倍。,2018-09-10
IamJason,4,推荐,没有天才，只有走出舒适区，有效刻意练习。,2017-01-24
虫语冰,2,较差,罗里吧嗦一大堆的例子，但干货只占五分之一不到的篇幅，扫一眼就可以了。,2016-12-24
Van,3,还行,工具书,2018-07-14
Fanta sea,5,力荐,兴趣+/eg:下厨房app，除了偶尔失手，简直万能,2018-02-15
Hilbert,4,推荐,保证充足睡眠和休息，做更短的更有效的训练，成年人可以通过持续不断的练习获得相应的技能,2017-06-07
Rouge,3,还行,3.5 精简是美德,2017-05-13
敦云™,5,力荐,我对里面提到的「心理表征」深有体会，高中有一场球赛踢之前我就想好了各种摆脱对手的动作，上场之后的盘带别人根本触不到我的球，那时候还不知道为什么怎么就变厉害了，早点读到这本书就好了，但是还不晚。其实里面一些想法自己日常也有想到，之前工作也有用到一点，只是没有作者这么全面。,2019-03-06
luffy_zozo,4,推荐,一分理论，九分阐述,2018-03-01
聆空,5,力荐,和部分方法论内容重叠，说明了可行性。不过也意识到实践和知识之间奇妙的关系，“知道”并不能改变什么。能运用这些方法去做出改变才对得起这本书的价值。,2017-11-06
深情的艾老师,3,还行,有点啰嗦,2017-07-21
守一,5,力荐,大师或天下的养成均离不开“刻意练习”，这个刻意练习：1、有目标且明白与目标的差距；2、找导师帮助，提供有效的训练方法和及时反馈；3、建立相关的心理表征；4、持续不断地坚持，离开舒适区；5、重点在不断纠正自己的不足之处。,2017-07-21
芝麻糊糊大尾,,9-,听过。。。,2017-09-22
游艺,4,推荐,确定目标不断改进，训练中必须专注，有及时的反馈，必须跳出“舒适区”进行训练；心理表征；行业有一整套成熟的评价标准和高效的方法；必须有一个能够给你布置训练作业和及时反馈的优秀导师,2017-08-20
梓,4,推荐,是的，翻来覆去地讲，超级啰嗦，但是道理和方法还是很受用的,2018-12-17
suisui,3,还行,9/4，买回来的书读完。,2019-07-16
王主任家的西,,9-,DD-1,2017-09-03
licheng47,4,推荐,只有敢于逃离舒适区的人，才能成为人生赢家。,2018-01-24
眸眸,4,推荐,关键是阅后展开实践，不仅仅是发掘自己的潜能，而且要“构筑”，让自己挑战不可能。,2018-05-29
[已注销],3,还行,一阵风一阵口号而已,2019-04-22
EBC学徒7093,4,推荐,20181126入学混沌大学2019商学院，看到刻意练习用作重要的技能习得手段，重读,2017-07-20
世界真无聊,2,较差,这本书是“怎么把一个道理水成一本书”的绝佳范例。它的材料本来可以组织得更有规律，可以展开来，更深入地探讨细节，然而作者把案例很浅薄地随意乱塞，把一个道理那几句话颠来倒去地讲。书评比书营养浓度高。,2019-01-14
◆鱼阿白@白◆,4,推荐,是不是应该去考个CMA出来练习一下这些方法？😂,2017-06-26
林木木,3,还行,偏学术类的书是真的有点啰嗦。对没能掌握的知识不停的反复练习，才希望能实践到今年的备考中去。,2018-01-14
七姐Claudia,2,较差,"太难看了！不知道是不是翻译得不好，枯燥无味！推荐中国人写的书，比如白岩松的白说，李笑来的和时间做朋友都要比这本写的好。
",2017-06-27
青洛,5,力荐,任何人的成功都离不开长期的刻意练习！,2020-04-06
御神木,3,还行,"有全局观念，知道评价指标，并需要大量有目的的刻苦练习，才可能成功。全书反复论证，如是说。
废话太多，论证案例并非对照实验，没有信服力。全本书可压缩成百字文章。",2019-09-08
一森大兄弟,4,推荐,有些冗杂，前后的较多例子阐述的观点接近，但是还是占据了较多篇幅,2019-01-28
kokoro,5,力荐,"2019.12.3 第十五本 星期二 在微信读书用听书听完了，提供了方法的指导，可以尝试。10集：专注，及时反馈，纠正
11集：跨越停滞期，只要方法对，大部分困难都可以克服/不存在毅力，长期坚持的原因在于：环境因素➕保持内在（和自己达成协议后再放弃）和外在动机（社会和朋友的肯定）-强烈渴望/精确设置小目标
12集：核心四步培养天才：产生兴趣，变得认真，全力投入，开拓创新",2019-12-03
瞬•间,5,力荐,通过一生的刻意练习，不断拓展技能、潜能和人生维度。,2017-08-06
吹毛里求斯,3,还行,滨江区图书馆 b848.2/1200/1 创建心理表征，跳出舒适区，专注-反馈-调整的练习。,2019-01-14
最伤今,5,力荐,三个要点:舒适区、反馈、心理表征，全书围绕着三个话题论证。这本书有强实践倾向，光读理论，不去做，没用。,2018-05-11
弗兰克尔,4,推荐,长时工作记忆，心理表征,2018-10-31
暴走粽子,4,推荐,"检视自己的目标，心态，方法和执行力，重视反馈，调整和外部动力，而不是仅仅感叹着“理想很丰满，现实很骨感”。

娱乐的心态很不错，但实际能力和专业技能，仅仅有娱乐心态是没法提升的。产生兴趣并不难，难的是“开始认真并坚持”。

说白了，有些事情上就得对自己狠一点。",2019-11-07
深深2,4,推荐,"天才是可以练习出来的。
机械的练习并没有太好的效果。
刻意练习就是逼自己离开舒适区，每次进步一点点。
知识是手段，技能是目的。为了获得某项技能，分解所需要的知识点，进行专门的练习。
教练，反馈很重要。
三个F foucs feedback fiz",2017-12-05
Satan,5,力荐,今天编码了00-99，背出了52个数字，打算练习十小时看看能背出多少。,2017-07-10
混沌君,4,推荐,"音乐、舞蹈、棋艺、体育等领域的杰出人物，无一不是在青少年时代花了大量时间做刻意练习，他们花的时间接近一万小时。刻意练习是的特点是（1）划出专门的时间专注练习 （2）练习后发现自己的不足，琢磨改进的方法，精益求精 （3）每隔一段时间有导师的追踪和指导。
想在某一领域提高水平的人，应该每天花至少一小时的时间，全神贯注地进行练习。如果走神，或者很放松、只是为了好玩，很可能不会进步哦！
大师曾经走过的四个阶段：（1）产生兴趣； （2）变得认真（开始跟入门老师学习，自己也认真练习）；（3）全力投入（第二阶段的入门老师已经不足以指导了，要跟随领域内的大师学习，而且自己要花更多时间学习。很多人停滞在第二阶段就没有前进）；（4）开拓创新 （经过第三阶段，成为了领域内的杰出人物，之后又创造出自己的特色）。
",2019-06-28
惶然芝士,4,推荐,名符其实，整本书举了大量的事例，围绕刻意练习四个字展开描述。201705@amazon,2017-06-06
小虎,4,推荐,啰哩巴嗦,2020-02-07
Sol,3,还行,喜欢里面有关音乐、练琴的例子；“完美音高”的部分很励志！“心理表征”这个概念，如此重要，却不够清晰。,2018-04-05
木木天,4,推荐,对于它要表达的观点方法来说有点厚～也许是我读的时候有点急躁～,2018-06-26
Elise·S,4,推荐,Representation是信息在头脑中的呈现方式，可以说是“对自己想达到的程度有一个概念”。,2017-04-05
Ygritte,3,还行,三星半。有目的、有回馈、有改进的练习可以增强技能。道理如此，知易行难啊～,2017-07-22
刘小流,3,还行,其实谁不知道呢，明明都知道没有认真地活。有点价值吧，畅销书都是“预设结论，选取例子”的堆积，读者估计看到例子都跳过。1小时读完一页笔记。,2017-03-27
刘喜胖儿,4,推荐,把整本书挤压成一句话就是，不要给自己下任何结论，只要通过有效的练习，每个人都有很大的可能性成为某一领域的佼佼者。,2017-05-11
AngelicalDevil,4,推荐,需要重读，再写。,2019-12-30
Farmingosi,,8-,就适合别人用两倍速迅速念给我听完就过。这么说来逻辑思维得到app还算是有用，但有些时候不适合，可是好书恰恰还是需要自己来读，花时间读的。（我以为这个app会有特别大的创新---别说创造力吧，但是不过是大型微信公众号，现还得花钱了）,2017-08-31
康,,2-,Focus Feedback Fix,2020-02-26
凝眉,4,推荐,整个口译学习的过程，就在于刻意练习。via得到，2倍速听完真爽。,2017-09-02
midoliumi,2,较差,一本用书名诠释了整本书的自我管理,2019-12-28
善水（音系语,,7-,如果你能够，持续不断地训练一个东西，最后你会形成一套完整的习惯，你非常容易地就能够做到很高级的水准，因为这时候决定性的是次数。,2019-07-10
J's,5,力荐,近来最好的一本书，理智，有效，简洁。做到其中任一点都很了不起了,2017-07-21
麦田夜莺,4,推荐,没有天才，只有刻意练习：1.“有目的的练习具有定义明确的特定目标”2.“有目的的练习是专注的”3.“有目的的练习包含反馈” 4.“有目的的练习需要走出舒适区”。如此坚持，离大师不远。,2018-06-14
鹜琅,3,还行,特定的目标，专门的时间，高度集中的注意力，及时有效的反馈，满足上述条件的练习必能成就高手，无论天资。,2018-09-21
｀Will。¨,3,还行,太啰嗦了……,2017-03-22
不打伞,3,还行,"1.刻意练习包括：专注、反馈以及修正
2.任何新生成为大师都要经历先是兴趣，然后认真，最后刻意练习。
3.给自己规划计划、把大目标拆解成小目标，走一步给自己搭一个梯子。
4.单纯重复不是刻意练习。

",2019-02-02
醉酒的黄艾伦,5,力荐,建立心理表征,2017-04-05
❤不恬,4,推荐,太冗长，可以压缩到一半。,2017-09-18
无名之辈,5,力荐,看完之后太激动人心了，人生又有希望啦！！,2019-04-03
风行水上,4,推荐,有启发……原来快练慢练要结合，理解背后的故事和创造动机，注意回听，想尽一切办法接触和练习，和人一起练习，主动创作和改编，都是能提升音乐技巧的办法。,2020-02-21
离辰,4,推荐,前半部分给了我很大启发，很值得仔细阅读来琢磨一套自己的刻意练习方法，后半部分废话有点多，都是一直在举例论证观点,2017-07-21
三月里的四月,4,推荐,2019年第二本重读之书。本书最重要的一个观点是：任何人通过建立心理表征的方式，有目的地进行刻意练习， 都可以实现自我超越。而且这种进步超越你的想象，因为人的潜力是没有极限的。,2018-12-11
鄧啫喱,5,力荐,我喜欢书中心理表征这部分内容，简单来说就是发现做事与学习的方法规律，更能令你事半功倍。,2018-05-21
Zerro,4,推荐,用科学理论和统计数字熬的一碗鸡汤。反复练习、及时反馈、正确方法是成为专家的秘诀。,2017-09-27
行之,5,力荐,流传甚广的一万小时天才理论并不确切，司马贺的弟子埃里克森新书介绍了背后的学术脉络：大脑的可塑性，心理表征，有目的练习，刻意练习,2017-12-17
夏洛澀,3,还行,#201705# 被标题骗了- -这是认知论不是方法论啊，当故事书看还不错,2017-04-05
傅临春,4,推荐,实用性很强，可以按部就班地操练起来。,2018-09-09
王一刀,4,推荐,"理论版的《The Art Of Learning》,为通过有效练习取得成功提供了完整的理论基础",2019-02-08
樊小红,3,还行,正确的练习需要好导师、有目标，有反馈。,2017-07-17
影启缘末,4,推荐,专注，反馈，调整,2017-04-12
轮回之树,4,推荐,理论有点意思，不过是方法论，不是指导手册。觉得谈方法和理论是在灌鸡汤的，那爱因斯坦岂不是也是鸡汤大师？,2018-12-24
弗里达的阳光,3,还行,啰嗦。看完前言，然后看看评论就可以了 ,2017-07-21
随喜,4,推荐,"1.天才是可以修炼的；
2.高人指点胜过瞎琢磨；
3.不断挑战舒适区；
4.练习，及时反馈，练习的循环才是有效的刻意练习。",2017-11-28
housEnuS,5,力荐,kindle,2019-02-21
BWV八核,3,还行,20170621 kindle,2017-06-23
灰烬~,5,力荐,更多的练习时间，不断反馈的纠错，循环中进步,2017-10-06
一,,4-,练习提升智力，有目的有提升的练习，有纠错和反馈，将好的东西形成习惯,2019-04-23
音lena,4,推荐,虽然有一种“伪正能量”，但还是想相信：付出心力，有目的的练习，可以尽量成为想成为的人。【2019.10.27】,2019-10-27
行✈知,4,推荐,脱离舒适区，反复练习，适应水平，如此循环，命运掌握在自己手中，这更像是一本励志书,2017-12-11
Cherry,5,力荐,最近花时间最久的一本书。将近十天。笔记抄了很多页，刷新了很多认知。推翻了“天才论”和“一万小时定律”。有原理，有实验分析，有详细的方法论。做一个“练习人”，看完感觉人生又有了希望哈哈哈。对教育培养女儿也有很大启发。,2017-09-29
陌上亦初,5,力荐,前后看了两遍，写了书评。深深觉得，无论什么事，你只要下定决心，找对方法，勤勤恳恳地练习，庸才也能够变天才。,2018-12-16
振之,3,还行,这本书删减掉一半的内容就能算得上是一本挺好的书了。,2017-04-11
阿古,4,推荐,书评说这本书啰嗦，一脸懵逼，难道有价值的不就是这些琐碎经验？反正更新我的一些认知。比如品酒师品酒的不稳定，可能此行难以有所谓的大师。,2018-09-01
陈陈,4,推荐,一万小时理论强调长时间练习的重要性。这本书则告诉我们：能折腾就一定要折腾,2018-03-27
Mantra,4,推荐,行文啰嗦，且趣味性与颠覆性没《异类》那本强，所以相近篇幅，这本读起来略枯燥些。但书中的几处观点还是有非常有启发意义的！方向已被指明，前进路径自需探索。,2018-09-19
老马,4,推荐,世界上本来没有魔术，练习的多了，手法精湛到一定程度，在别人看起来也就是魔术了。,2019-11-29
[已注销],3,还行,仅对一些需要大量经验积累和机械性重复的领域有效。如果追求真正的创造力，还是得靠天赋,2019-07-10
Cyborg.z,4,推荐,论点挺清晰明了论据反而略啰嗦。此刻正非常需要这样的鸡血&鸡汤。有句话不是说得好：以大多数人的努力程度之低，根本轮不到去拼天赋。,2018-02-28
elwin,,1-,听完FD，最有价值的就是书名四个字，要想在某领域成功，就做好这四个字。,2019-01-10
Bulle,,2-,10月初,2019-12-04
Verändert,4,推荐,迎难而上,2018-01-10
Santiago,4,推荐,完美音高是可以训练出来的 高强度的刻意训练 伦敦出租车司机 盲人 大脑生理结构的物理改变 有效的练习 正确的心态 有目的的训练 不断改进 反馈 跳出舒适区 训练心理表征 合理发展的领域+导师 刻意训练的原则 美国海军 越南战争,2017-12-09
良生。,2,较差,可以再简洁一点,2017-05-01
,,7-,"有目的的训练：
（1）获得及时的反馈。（2）突破舒适区的训练。（3）优秀的导师。
自学
寻找反馈
第一流的给你反馈，是最为重要的！",2017-07-22
马,,5-,与如何阅读一本书，高效学习法则一体。,2017-05-08
桂丝鱼,3,还行,反复地告诉读者要进步就要多练习，不断练习，反复练习。,2017-10-02
宽宽宽叔,3,还行,这书真特么啰嗦，如果结尾能将道理缩成一页，让读者撕下来贴墙上每天看，就好了，可惜并没有这样做……,2017-06-27
何飞白,4,推荐,虽然如此……我还是相信有智商这个因素的存在,2019-02-09
Zero to One,5,力荐,稍微有点啰嗦，但是看了以后感觉打了鸡血。,2018-10-07
masterplan,2,较差,"太啰嗦的书以后不看了 
""practice skills, not acquiring knowledge which will comes as a result of using those skills""",2018-06-13
轻舟,1,很差,感觉只是说了一堆事迹证明题目，要刻意地练习。樊登读书会听读。,2017-06-16
鳗鱼札记,4,推荐,方法和安慰，不断,2017-09-19
和梦无,4,推荐,有方法，才有产出,2018-10-11
和光同尘,3,还行,要早，要多，要专注，要反馈，要激励，要不断探索边界。,2018-06-12
丁丁,4,推荐,给浮躁社会的一剂良药，那就是反复的练习,2017-03-29
hash,4,推荐,行动指南,2017-11-08
桔梗,5,力荐,心理表征,2017-12-17
V.O.S,4,推荐,从128页开始终于讲正事了。第二个感想是，对天赋与努力思考得更细腻，不再非黑即白。通常如此之后，都没办法再说出斩钉截铁的偏见了。对稍有天赋同时刻意练习的人充满敬佩。,2018-08-03
Vince,3,还行,1. 有针对性的，长时间的刻意练习，可以提升大部分能力，和智商，天赋关系不大。2. 大量的练习有助于建立“心理表征”，进一步提升练习效果（熟能生巧，庖丁解牛）3. 以上两句话写成了一本书，高分还是低分呢...,2017-09-18
香草山,3,还行,对此书最大的感受是作者把很浅显的道理用逻辑，数据，实验和事实重新包装梳理了一遍。,2018-10-01
Steven,4,推荐,看完仿佛对生活和人生又充满希望，你离大师只差努力和方法，但总觉得没点天赋谁都无法成为大师。,2019-09-07
Mitsuo,3,还行,180525等千岛湖资料时看了下 第六章动机 180302 引：“一旦进入较高级阶段之后，刻意（有向导有意识）练习将会产生更大的影响，直到继续增加练习也不能明显提高效果为止”,2018-05-25
小乖不乖,5,力荐,2019.2.11晨听。（之前看过纸质版的，没标记）,2019-02-11
米饭不熟,5,力荐,学习方法,2017-05-21
米娅,3,还行,进入到完全陌生的领域并能坚持重复练习，它们会在时间的深度和长度中慢慢生长，给你带来始料未及的惊喜。快节奏下Multitasking看上去很酷，可是如果能能留出心流时间，不保留的付出，做好一件事，爱一个人，这种常人看起来乏味又难以坚持的，才是最了不起的,2019-08-22
Copperfield,4,推荐,提的观点不错，但论证的例子有点单薄，翻来覆去的几个案例，前期的铺垫也太长了，要是能直接讲明核心观点，会更值得,2019-12-28
Instead,4,推荐,原来天才并不是天才，只是那些不断刻意练习的人。,2020-02-24
BEIKGH,1,很差,这本书应该改名为如何把一句话变成一片论文，如何凑字数，如何骗稿费,2017-11-29
[已(手动)注销],3,还行,太啰嗦，内容大概在150页左右就可以阐述完的。找电子版出来看看也还可以。,2018-08-31
龙小姐,1,很差,怕是一篇特无聊的论文吧。。,2019-04-05
夏天结束了,4,推荐,人人都可以通过刻意练习掌握一项技能，刻意练习是有目的的练习，关键是接受反馈之后调整和目标之间的差距。,2018-01-15
羊咩咩的剃须刀,3,还行,800字的内容也能写成论文集！！,2017-10-24
我是毳毳,3,还行,还可以吧作为工具书，案例确实太多了点，很快的翻过去，收获是意识到不管干什么都得带脑子，要不时间就白搭了，比如现在总结自己都吸收了点儿啥。还有就是要将练习融入生活中形成推动自己向前的习惯。Focus-Feedback-Fix it,2018-07-14
凌霄,3,还行,最佳学习方式并非独自练习，而是在情景中练习（工作，比赛，项目）刻意练习的难度要适中，能收到反馈，足够多次重复练习，能纠正错误。心里表征最大效益化：专注，反馈，纠正。网易蜗牛APP阅读每天一小时。本书其实并不适合全部阅读完毕，因为很多例子都是为了佐证作者的观点。重复啰嗦的很。,2017-05-08
硅胶鱼,4,推荐,很有启发，有些可以直接实践。偏啰嗦减一星,2017-04-07
howie.serious,4,推荐,【熊书007】1、如何把人人都知道的「学习」变成大师和高手一路走来所依靠的「练习」？这本书给出的答案是「心理表征」。本书没有讲清楚，但分解开，就是事实性知识、概念、模型、知识树。2、大师如何从新手一路走来？实实在在的才能，如何从无到有一路训练出来？本书引述的bloom的研究给出了答案(1985，developing telents in young people，才能培养的3阶段理论）。3、人人都知道教育要改革，学习的方式方法要改变？背后是在美国教育界火了几十年的精熟教育（mastery learning）。从知识导向到能力导向，从灌输到练习，这揭示了21世纪教育和学习的范式转换方向。虽然过程会很漫长，但这是一条必然之路。,2017-05-01
W,4,推荐,4- 啰嗦。。。,2019-07-21
剑飞,5,力荐,碎片化时间看完，做了很多笔记，麦老师帮我誊写了纸质书的笔记。看这本书的过程中，回想起很多《哪来的天才》书中的内容。刻意练习本身并不是让人舒服的。在阅读过程中，刚好每天都在珠江新城的进行语音写作的刻意练习，很有感悟。相关笔记已经导入到为知笔记，抽时间发送到博客。 ,2017-06-24
少楠 Plidezus,4,推荐,纯粹的重复并没有什么卵用，要的是不断的突破自己。,2017-01-13
2025前买房了,,9-,未完待续,2017-09-03
Etenally,4,推荐,偏学术的书，如何将刻意练习运用到我的工作中，是目前需要思考的问题,2017-03-11
锡兵,4,推荐,肥肠打鸡血的一本书，尽管反复唠叨的的都是我已经知道的，还是非常能激励自己的。,2018-01-13
颜先生,4,推荐,如果能缩减至三分之一的内容，肯定是一本好书。很多年前对一万个小时理论很痴迷，现在终于搞清楚了“正版一万小时理论”的要义。,2018-09-18
西瓜,,2-,Mindful learning and practice,2017-02-12
影蝎藏乌,4,推荐,畅销书的路数。其实畅销书的写作模式是很值得借鉴的，尤其是对于需要进行报告写作的人。书里面有一些可供借鉴的内容，至于有没有效果，只能说希望有吧。,2017-07-02
54miracle,5,力荐,看完很震撼，1、驱除了对学习任何新东西的恐惧感，只要知道一点，任何事情都是可以学会的，2、正确学习非常重要，通过可以练习的方式可以快速完成很多不可思议的学习过程。,2017-01-28
IMMAX,5,力荐,´_>`这本书在摘录笔记方面不是很亲切呢…,2017-01-21
纤纤君,3,还行,一万小时理论其实有缺陷，要带目的性反复练习不擅长的部分才有用，另外循序渐进。例子太多导致读起来略冗长，如果简洁点可以给四星。,2017-02-23
杨小冬,2,较差,超级啰嗦，会花很多页来举例说明一个明显为真的道理…而且理论居多，实操性较小，笔记下来大概是：找一个优秀的导师，突破舒适区，针对自己不擅长的部分练习并寻求反馈（依然是大家都知道的东西啊！,2017-09-15
[已注销],5,力荐,"前几年流行《异类》和《一万小时天才理论》，寡人看介绍和目录大致知道怎么个意思，但寡人脚得事情没这么简单，所以都没读，豆瓣上甚至有人进行一万小时训练的“打卡”记录，寡人更是脚得哪里不对劲。前不久在亚马逊看到这本《刻意练习》直觉是走对路了，今天看到三分之二，脚得这才是关键，虽然并没有很多""干货""，但想起曾经几次如有神助的时候确实与刻意练习的方式相符，所以这本书打4星，再为纠正“一万小时”加1星",2017-01-10
軒轅鍾書,4,推荐,比一万小时理论更具有操作性。刻意练习需要：特定的目标、专注、包含反馈、走出舒适区。有导师的话，可以帮助设定目标并能获得切中要害的反馈。自己的专注力需要通过冥想等训练，同时需要通过较好的心里表征（具象、联想、关联）以记忆在大脑里。具有挑战性的事情，才能帮助自己走出舒适区。,2017-08-03
小重,4,推荐,"#2019#13本# 2019.9.8
2017/3/14 初读未读完
2019/9/4  重新阅读   9/8读完",2019-09-09
MetalDudu,5,力荐,“刻意练习”（deliberate practice）就是遵循有效方法，突破舒适区，专注特定目标，及时反馈修正，产生良好的心理表征进行大量的练习。比起一万小时，本书有实验依据和实例，值得一读并实施。20170111,2017-01-13
strider,3,还行,第二次看这本书，最大的感受就是写的太啰嗦了，砍掉百分之九十的内容都没问题。,2017-01-12
zmk,3,还行,认知心理学中研究过技能训练的相关问题，证据表明将任务分解然后对每一部分进行反复强化训练的方法最有效。,2018-04-07
地瓜周丨读书控,4,推荐,产生兴趣，变得认真，全力投入,2017-06-01
muzer,3,还行,和《哪来的天才》讲的东西差不多。阅读体验不好，太啰嗦，作者应该刻意练习一下自己的写作技能……,2017-06-15
枫言,5,力荐,激发了我后续阅读兴趣 一本书,2016-11-24
干菓子,3,还行,"只要运用刻意练习，人人都可以成为杰出人物。

几个关键词
保持动机，掌握方法，拥有毅力，及时反馈，心理表征

比较触动我的点
1. 相信自己，人类无极限，人类的适应力允许人类无限发展。
2. 练习方法的重要性，走出适应区，有目的的练习

———————更新一下———————
感觉每个人其实都或多或少有这些模糊的认识，只不过被作者点了出来。
实在是太啰嗦。",2017-03-22
greenhands,5,力荐,很有说服力。,2017-01-03
CAROL REN,5,力荐,2019.11.11 看过并做第二遍笔记，梳理与学习方法有关的习惯，替换掉一些原有的，不合用的低效习惯。方法的效率，有效反馈的密度，然后才是专注与投入，有正确的方法，产生正面的结果，才不辜负自己花费的时间和精力。许多学校系统认为理所当然的观念和方法是低效和误导的，拿来使用比对，货比货的去审视时就可以看清楚。,2016-11-30
妳妳妳妳妳,4,推荐,2017.32 概念很不错，但写成书实在太太太太太太太啰嗦了。,2017-08-14
金刚福禄蛙,3,还行,"5,6章比较有用，其余可以简单读读，7分",2016-12-29
文倩,4,推荐,由大量实证得出的结论，还是比较可信的。对比国内的各种成功学速成书，好太多。所以不要嫌啰嗦。另外，这本书打破了意志力和天才的神话——“只是成功后由别人加上的标签而已”,2018-01-25
rayliao,3,还行,确实篇幅没必要那么长，全书无非一个思想，要有方法的去学习，而不是无脑的重复。,2017-02-08
叮当想旅行,2,较差,弃。太啰嗦，以及干货很少。,2017-02-09
deja v,,3-,2017-10-8第二遍,2017-03-22
杰德的十四行,,1-,走出舒适区，站在最近发展区内，坚持坚持再坚持！,2017-01-04
好大无畏,5,力荐,只读推荐序言就够了：1、一万小时是虚指，每个行业需要不一定的时数，要取得成绩都需要投入大量时间，让量变升级成质变。2、训练要有针对性。不要重复已知内容，而应该对以下内容投入时间：难点、突破点、未掌握的知识点、关键点。3、在实战中练习：音乐家应该多表演、金融从业者应该投入市场、从实战的反馈中找到需要升级提高的地方。4、不要单打独斗闭门造车。要找有经验的老师指导，找学习小组交流。5、找到 Benchmark，拆解训练模块，建立心理表征（概念式结构），专注地练习，根据反馈不断纠正、调整方法，逼近训练目标。天才并不神秘，本质上就是个（自我）引导和监测的逼近过程。,2019-12-14
Crazy dancer,5,力荐,陆陆续续看的很仔细，买了纸质版的。最后的结果是通过“刻意练习”成为终身学习者。而且可以做到自己边界的极限。具体操作要一步一步来。应用和技能对人的影响超过知识知道对人的影响。建立储存良好的创建心理表征。有循序渐进的目标和计划、有好的老师，有及时的反馈。和前两天看完的《学习之道》一起复习。,2017-04-14
元气满满大姐姐,2,较差,真的是啰嗦到捶胸顿足，好焦灼啊！,2017-06-06
Kidult,4,推荐,找到 Benchmark，拆解训练模块，建立心理表征（概念式结构），专注地练习，根据反馈不断纠正、调整方法，逼近训练目标。天才并不神秘，本质上就是个（自我）引导和监测的逼近过程。,2016-12-28
fenglong88,3,还行,在中国这些东西并不新鲜呀。我们培养的“神童”不少了,2017-01-07
tina,5,力荐,持续通过有反馈的刻意练习，创建心理表征，提升自己在某领域的水平。重在掌握怎么做的技能，而不是零散的知识点，这点很重要! 不要迷信天生才华，正确练习，你也可以提高，持续正确练习和思考，你也可以成为专家!,2017-02-28
苏听风,4,推荐,"很多时候，我们都认为天才和大师有时候是天生具备某种才能，这本《刻意练习》的书”揭发“了这一秘密。曾经的一万小时理论疯传，反复用同一个方法练习有时候并没有用。书中以下几个方式值得参考。
1、设制目标、设计有目的练习方法。
2、建立标准、及时反馈练习的信息，并修正练习过程。
3、创造心理表征、找到导师。
4、走出舒适区、挑战自己。",2016-12-22
世界美如斯,4,推荐,重读。2017年8月16日。,2016-11-08
喵呜,3,还行,E,2018-12-05
向远,3,还行,看看书评和笔记也能GET到核心内容了 ,2017-07-20
黑瓣儿,3,还行,讲的很有道理也很值得一试，看完以后觉得相见恨晚。但是简单三句话的道理车轱辘话写了这么厚一本书，还是觉得有些罗嗦。,2016-11-20
Gary Li,4,推荐,易读性上显然不及《异类》，但应该更接近真相，对于立志学点什么的人会有帮助。,2018-01-07
DHfly,4,推荐,这本书提醒了我们一个儿时原本知道但随着尘世浸染反而渐渐遗忘的道理……,2018-08-31
JInnG,,1-,太啰嗦,2019-11-27
sunny,4,推荐,干货还是有的，但是分散在了长篇大论里，后半段比较密集。对建立心里表征、不断挑战自己、持续强化训练、天才不是天生等内容都比较认同。我是一直喜欢画画和想要学习尤克里里的，书中的观点让我又燃起了对这两项爱好的热情，哈哈,2018-03-12
成为火影的男人,4,推荐,经测试，我的专注力极限是每天11个50分钟，超过这个后只想睡觉。如果连续专注时间为3个小时左右，非思考型专注(比如画画)可以到6个小时……所以很难理解那些连续专注15个小时的人是不是把发呆也算上。一天工作八小时是有道理的，说不定加班长期来看对效益是得不偿失。,2020-04-04
嘿嘿嘿,3,还行,"主旨就是书名，方法就是书名
3F：focus feeback ",2020-03-31
可购 啊尼 维,5,力荐,10分钟读完<刻意练习>,2020-03-31
条乐,5,力荐,@2020.03 非常赞的一本书！做了一个思维导图重构成适合自己理解记忆的框架。有了方法论，攻克新领域更有信心！,2020-04-01
艾藇,3,还行,道理我都懂。,2020-04-01
骑蜗牛的小蘑菇,3,还行,有些内容确实挺有用，但也太太太太太啰嗦了吧。作者是把读者当幼儿园小朋友了吗？废话连篇,2020-04-04
三脚猫,3,还行,成为某领域行家的几个必要条件：动机，专注，i+1，反馈，提升,2020-04-01
侃,,4-,怎么这种类型的书都有点名不副实,2020-04-01
明明,1,很差,简直不知道这个7.9的豆瓣评分是怎么打出来的,2020-04-01
東雲,3,还行,“若想成为专业技能化人才，必须走出舒适区，不单靠1万小时理论打鸡血。”,2020-04-01
思靖,3,还行,两小时内读完比较合适。信息量一般，不值得花太多时间。,2020-03-21
枕鸿,5,力荐,与领域最好的专家互动，形成心理表征，从而像专家一样思考。,2020-03-22
dear莹火虫,4,推荐,刻意练习是一种高效学习方法，其主要目的是通过创建心理表征来进行思考。,2020-03-26
