moviesName,moivesEvalute,moviesCommentCout,moviesHotComment
指环王3：王者无敌 The Lord of the Rings: The Return of the King,9.2,55661,"['即使在一起喝过多少次酒，逛过多少次街，掏过多少次心窝，共度过多少时光，许多人还是没能拥有一个能背起你从地狱走向天堂的朋友——山姆。', '每次看魔戒都会被奥兰度惊艳到~', '终于结束了，一切如常，我却回不去了', '巨制就是巨制魔幻这题材少了美刀那不是人玩的感想如下：幽灵大军战斗力堪称最强阿拉贡你早调人马来省事好多 就是看着像清鼻涕 甘道夫你这个白袍儿怎么灰头土脸没有人家萨鲁曼当得有气势捏？精灵弓箭手萌~萌~萌~一大笑点是矮人金利 四个霍比特人就数弗罗多不讨喜这是角色设定没有办法 嫁人就嫁阿拉贡介样的人不过丽芙你脸也太长了我设定成宽屏还盛不下你的脸 有人说山姆和弗罗多其实是断背我看很有根据 所谓那会心一笑一切...', '巨制就是巨制魔幻这题材少了美刀那不是人玩的感想如下：幽灵大军战斗力堪称最强阿拉贡你早调人马来省事好多 就是看着像清鼻涕 甘道夫你这个白袍儿怎么灰头土脸没有人家萨鲁曼当得有气势捏？精灵弓箭手萌~萌~萌~一大笑点是矮人金利 四个霍比特人就数弗罗多不讨喜这是角色设定没有办法 嫁人就嫁阿拉贡介样的人不过丽芙你脸也太长了我设定成宽屏还盛不下你的脸 有人说山姆和弗罗多其实是断背我看很有根据 所谓那会心一笑一切都明了 那额头一吻你别再敲打我心门 额我又腐了 最后压轴凯特你粲然一笑我瞬间倾倒！总结：60块收这6张D9值', '(', ')', '亡灵奔涌那里很帅••••••']"
飞屋环游记 Up,9.0,136138,"['我心中的结局：就在老爷爷被勒令搬进养老院的第二天，来接他的人发现老爷爷静静地坐在椅子上，手中拿着还没充完的气球。他已经死了，脸上留着幸福的笑容。飞屋冒险只是老爷爷死前的幻境。至此影片结束。', '最后那些最无聊的事情，才是我最怀念的。', '有史以来最强壮的老爷爷和最轻便的房屋~一群最不靠谱的狗和一只引人发笑的怪鸟~外加一位惹人喜爱却戏份不多的老奶奶，组成了一部我大爱的好片！', '气球升起的时候太美好了', '近乎无可挑剔..']"
十二怒汉 12 Angry Men,9.4,66266,"['情节展开的不错，但是戴维斯主张的部分都只是模棱两可的推测，实际上挨个求证这些东西之后，孩子有可能是凶手，也有可能不是。只是控方的初期工作没有做好，辩方的交叉质询没有做好，案子应该重新调查，而不是简单的判决无罪。\n\n看到有人截屏引用这个十一年前短评做庸俗群众代表我很荣幸。\n\n现在我要补充的话，会说，权利机关的失职是一回事，合理质疑没有毛病，但结局判决无罪是有毛病的。因为不管群众是盲从机构推测，还是盲...', '情节展开的不错，但是戴维斯主张的部分都只是模棱两可的推测，实际上挨个求证这些东西之后，孩子有可能是凶手，也有可能不是。只是控方的初期工作没有做好，辩方的交叉质询没有做好，案子应该重新调查，而不是简单的判决无罪。\n\n看到有人截屏引用这个十一年前短评做庸俗群众代表我很荣幸。\n\n现在我要补充的话，会说，权利机关的失职是一回事，合理质疑没有毛病，但结局判决无罪是有毛病的。因为不管群众是盲从机构推测，还是盲从男主推测，都只是被碾压。文艺青年批评我追求真相庸俗，那么只要和机构观点相反就行，接受无罪结局才是公平和正义吗。', '(', ')', '民主、人性、理智、原则。合理怀疑。', '傻了B了，竟然先看介绍，结果观影过程觉得影片本身十分做作。', '抽丝剥茧，各个击破，非常牛逼……感到非常非常大的压迫感。气氛竟然还跟一场雨融合得那么好。', '1.看罢暗惊，但细想之下，并非最爱的吕美特电影。2.把罪案摊在阳光下。3.我从小到大住在纽约，却从来没去过那里。4.并非称言其无罪，而是不确定是否有罪。5.最棒的钟表匠都在欧洲。6.不论去到哪里，偏见总是遮蔽了真相。']"
鬼子来了,9.2,72489,"['十部南京也抵不过一部鬼子来了。', '一刀刘、二脖子、马大三、四表姐夫、五舅姥爷、六旺、七爷、八婶子、小碌碡...', '心中的点点悲凉，不能一语道尽……', '越荒诞越有力', '就让我一手一个，掐吧死俩！']"
何以为家 كفرناحوم,9.1,153799,"['见过游乐园女神被扒光，洗过沾了鲜血的衣服，听过蜘蛛侠变成蟑螂侠的传闻。才知道美丽会变丑陋，纯净会变脏臭，英雄泯然众人，自己却无能为力。把童贞交给世界，用匕首刺穿丑陋，靠起诉状告父母，挤笑脸嘲弄命运。赞恩把婴儿交给男人，才明白自己谁都保护不了。他就站在破败的街角，仿佛人生走到尽头。', '在欧陆人民面前，中东这样的超级人道主义灾难本身就是泪点满满。这样的题材如果是纪录片会更具力量，但想想如此年纪的男主及孩童们居然可以“演绎”得如此逼近现实，女导演的确强大。另外强烈抄送国内逼婚逼生一族。', '前100分钟拍的没有任何一丝赘笔，冷静利落，最后20分钟稍有煽情过度，但也是在合理范围之内，小男孩的演技已经超过当年的柳乐优弥，戛纳最年轻影帝马上就要诞生了。', '从一句话的简介 就直击心灵 再到120分钟完整故事 一直受到着冲击与震撼。 三个看片小伙伴 开篇就哭的稀里哗啦 结束 已经泣不成声  真的是一部还没看完就想让全世界去看的电影。那句在法院上12岁的小ZEIN的发言：我要控诉父母生下我。我想让那些无法养活孩子的父母 不要生下孩子。', '这题材...这手法...锁定奥斯卡外语片提名。小男主的表演太厉害了！有点煽，可看性很高但艺术层面低些。技巧很干净，但偶见被安排的剧情。希望有更多人看到这部电影。']"
天空之城 天空の城ラピュタ,9.1,71996,"['不看人生不圆满!!!宫爷爷的所有电影都是!', '我愿意给10颗星！！！！！！！！！！', '好电影从来都不会因为岁月的流逝而失去它的味道，反而会越来越香醇，一如地窖里的酒。久石让的音乐堪称完美，画面虽是手绘，但亲切感十足，故事背景细节丰富，人物刻画生动，还有区别于一般动画的深刻主题。★★★★☆', '每一个女孩最后是不是都会变成妈打啊', '重看依旧五星，云层背后未知的神秘和美丽、繁华与凋零，就让它们永远消失，真正纯净的美只能消失，那颗孤独的树最后徜徉在无尽浩瀚，加上无比熟悉的配乐，何止感动；对飞翔的热爱，永不言败的少年和少女，充满童心的婆婆，天空某处，定有一个无人涉足、只为自己保留的小小世界。']"
大话西游之月光宝盒 西遊記第壹佰零壹回之月光寶盒,9.0,73599,"['2000年。周星星结尾背着金箍棒转身时看得流眼泪。', '片尾曲真的很好听', '那年的蓝洁瑛怎么那么好看 好看到我眼里完全没有莫女神。                                             18.11.03更新 今天瑛姑过世了，这一辈子太苦，但愿天堂里有属于你的月光宝盒。', '经典不用说 \r\n没第2部好～', '一代经典，据说上映的时候票房异常惨淡，也没有什么奖项。但现在还是西游系列标杆性的代表。']"
哈尔的移动城堡 ハウルの動く城,9.0,98326,"['目前为止觉得哈尔是宫崎骏作品里最帅的男角', '人不漂亮活着还有什么意思...哈哈哈哈太可爱了哈尔...', '木村的哈尔~', '1，哈尔变身之后的造型就是折了翼的天使。2，王后是女同，看上苏菲了。3，每个宫崎骏都要有老巫婆，善良女，宠物狗，无语怪。还有各种帅男！', '激动之下，把日、英、台三个配音版本全看了……']"
天堂电影院 Nuovo Cinema Paradiso,9.2,80210,"['看来我要少看电影了，我的人生才是我经营的重点，电影终究只是电影啊~~', '生活和电影不一样，生活比电影难多了。', '如此美丽，如此悲伤。那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。', '是的，一场伟大的失恋。', '因为我也当过放映员，深有感悟……我们每个人都是小托托、每个人都希望自己的儿子也叫小托托、就连爷爷奶奶们也都希望有个小托托样的孙子……']"
素媛 소원,9.2,81956,"['爸爸知道女儿介意排便器的塑料声为她准备装满塑料包装纸的糖果小包，女儿知道一直跟着身后的可可梦是爸爸。', '爸爸和小女孩演的都太好了，爸爸的基友一家人真不错，这样的人在世上少有了。还好孩子没有受到欺负，能有人正确的引导她，帮助她。人渣们都该死~！我哭死了', '最感人的是素媛回家时那一墙的小纸条。', '负能量正能量负能量正能量负能量正能量负能量正能量负能量正能量，已虐哭…', '泪流满面。']"
罗马假日 Roman Holiday,9.0,107478,"['离开你 并不是因为不爱你', '当他把手伸进去，她的表情美丽极了……', '完美的公主，天使的笑容，魅力的男人', '她说 我最爱罗马', '不错,但也不至于让人欲仙欲死吧?']"
闻香识女人 Scent of a Woman,9.1,108216,"['或许是因为年代久远，会觉得故事略显老套，但并不影响影片带来的强烈感触。问题不是哪条路是对的，问题是，你敢不敢走？人即使身残，也应保持灵魂的完整，因为灵魂没有假肢。★★★★', 'Pacino成就了这部电影，他的每次出场都使影片散发着夺目的光芒。那段震撼人心的演说，那段迷人的探戈，还有一个盲人肆无忌惮地在空旷的街道开着法拉利……当你对着镜子缅怀青春感叹年华似水时，Al让人相信，时光对他来说只是种更为炉火纯青的化妆，皱纹也可以是种性感。', '原来讲的是男人的故事', '气场强大Frank。“你正扼杀了这所学府所坚持的精神，真是耻辱。你们今天给我看的是什么秀？唯一有格调的，坐在我旁边！我可以告诉你们，这孩子的灵魂没有被污染！”“灵魂不可能有义肢。你以为你只是把这好青年像落荒狗似的送回家，我说你是处死了他的灵魂。”', '看过这部电影不仅是视觉上的感受更多的是内心的震动和灵魂的洗礼，两个主人公一个是上着大学的乖学生一个是脾气古怪的盲人大叔两个本素不相识的人，因为一分工作联系到了一起，从一开始的互不理解到最后改变了对方，整个过程确实值得人们深思。整部影片的最高潮就是最后的演讲也是我最爱的部分。']"
辩护人 변호인,9.2,88099,"['重要的不是这个电影拍的如何，而是韩国电影人在拍这样的电影，韩国观众在看这样的电影，没有审查阻止、禁止、扼止你拍，没有无形之手阻止、禁止、扼止你看，这，就是民主。韩国电影这20年的迅猛发展，离不开韩国电影人的勇气和毅力，中国电影人应该有胆量在一块更大的画布上，言说我们这个时代！', '不是很清楚卢武铉是个什么样的总统，不过电影是根据真实事件改编的， 至少他做过这样的事情。韩国电影一直有在自省历史，令人敬佩。大脸影帝之一的宋康昊演的太好，法庭上完全被他带入了。最后一幕特别加分，得人心者得天下！', '法律有时候也是国家暴力机器的一部分，但法律依然是个人能够对抗国家机器唯一的武器，当国家机器想要彻底摧毁一个人的尊严和权利时，它首先想要做到的就是践踏法律。而当法律被如此践踏时，即使是最逐利的律师，也会挺身而出来维护法律。如果要问法律为什么值得信仰，这大概就是我的理由吧。', '在韩国维权人士最后可以做总统。。。。。。', '依然可以找出不少瑕疵，却仍旧要感叹韩国电影工业的日趋成熟，似乎随便一位新人导演就能讲述出令人动容的故事，除了体制之外不得不承认创作态度的天壤之别。生逢乱世明哲保身往往只能是一种奢望，而很多时候恰恰是我们事不关己的冷漠态度在纵容着罪恶的发生。']"
搏击俱乐部 Fight Club,9.0,115852,"['一则极具颠覆性质的社会生活寓言.无能为力，无法改变现状，是现代生活中的癌症。虚无使人痛苦，使人希望借各种方式找回存在的真实感。然而现代人的精神悲剧就是，当他们自我搏斗、脱离了一种精神上的奴役的时候，不知不觉又进入了另一种奴役。影片自身所带有的一种不可言传的魔幻性与自我消解意味使它', '工作不能代表你，银行存款并不能代表你，你开的车也不能代表你，皮夹里的东西不能代表你，衣服也不能代表你，你只是平凡众生中的其中一个', '抛开一切，重获自由。You met me at very strange time in my life. 天呐，今天才看完这部电影。佩服导演埋彩蛋的功力，特别那两个big nice cock，绝妙啊！', '典型的反体制电影，哈哈，真逗。MMD，将一切都讽刺解构了一番，爽。只可惜这破坏难以节制也实在麻烦。', '各位亲们。。。精神分裂真的不是影片的重点。。。痛是我们感受活着的唯一方式。']"
哈利·波特与魔法石 Harry Potter and the Sorcerer's Stone,9.0,70436,"['演员最好看的一部。', '你信不信，我也养了一只猫头鹰^^', '那时候是有多可爱啊，刚接触魔法的种种新鲜和刺激，比起后面的黑暗剧情以及丹尼尔越来越大叔的模样，真是怀念这里啊。', '我竟然還沒有在豆瓣添加哈利波特系列啊... 我怎麼當粉絲的我！第一部自然是最引人入勝的。', '当年还是在电影院看的，波特的魔法世界惊艳展开，风靡全球。']"
死亡诗社 Dead Poets Society,9.1,99306,"['看这部电影才知道，原来自己已经死去了好久，从某个不经意间被打破的清晨开始。', ' 哦！船长！我的船长！', '深刻并不来自死亡，而来自那对心爱姑娘眸上的深深一吻，岩洞里的昂扬青春，还有生命陨落前那最后璀璨。Carpe diem -- 换个角度，换个心态，不再一样。', '明明不是悲剧,就是不停的被感动着', '“人无千日好，花无百日红。”为什么Keating喜欢当老师？也许正是喜欢置身于人生第一个转折处，给予他们自己最好的指引。“梭罗说，大多数人都生活在平静的绝望中”，这句话人至中年才慢慢体味个中含义，所以，少年时期的梦呀，爱呀，理想呀，追求呀，努力追问，努力回答，才不枉一生。']"
教父2 The Godfather: Part Ⅱ,9.2,36649,"['帕西诺太帅了~', '即使敌人已经手无寸铁，但仍旧要处理掉。麦克深深的延续了父亲的性格。唯一不同的是家庭问题的处理，是时代变了，也是麦克与父亲之间的不同。两条主线相互交错，即使对比更是互补。阿尔·帕西诺最后的眼神，那是寂寞吗？', '三个多小时的长片却没有一丝冗余剧情，教父2比教父1艺术成就更高。横跨50年的双线叙述营造出真正的宏大史诗，冷酷英俊的阿尔帕西诺和德尼罗演技超一流，镜头和画面色调依旧绝佳，剧情安排让人唏嘘感慨，忧伤无奈的配乐震撼人心！只是如此完美的经典却有些过于残酷冰凉。（9.5/10）', '从《教父1》到《教父2》，科波拉用镜头记录着两代教父权力的交接，也记录着第二代“教父”阿尔·帕西诺从一个男孩成长为一个男人的奋斗史。马龙·白兰度、阿尔·帕西诺、罗伯特·德尼罗，科波拉的镜头囊括了两代共三位教父，算是美国典型黑帮电影的集大成。', '所以说，苟富贵 勿相忘是古今中外最难做到的六个字。仔细想了一下麦克和他爹的差别，一个是由穷到富的创业，从妻子到孩子到朋友到哥们弟兄，无一不是感恩的，跟着教父有肉吃。而麦克，只有他知道世界多危险，他一个人扛一个人摆平一个人承受，然后身边所有的人却把他看做是凶手和怪物，真可怜……']"
