title,score,number reviews,comment list hot
我与地坛,我与地坛,9.0,"['我什么也没忘，但是有些事只适合收藏。不能说，也不能想，却又不能忘。它们不能变成语言，他们无法变成语言，一旦变成语言就不再是他们了。它们是一片朦胧的温馨与寂寥，是一片成熟的希望与绝望，它们的领地只有两处：心与坟墓。', '每當我想死的時候就讀讀。', '你知道，一个文盲的幸运就是，很多大家死了，我才知道去读一读。如果我在史铁生去世前就读《我与地坛》和他的其他作品，当然会不可收拾地喜欢上他的书。要命的是，当他死时，我就得跟那些称史铁生为“史老爷子”的人一样，经历一场要死要活的伤心。所幸我只称他为史铁生。所以当文盲有当文盲的好，你们不要嘲笑我们。', '只读了这篇25页的散文。没有经历过重大挫折的人，可能无法完全理解作者的情绪。', '有过我车辙的地方也有过母亲的脚印。']"
无人生还,无人生还,8.9,"['书是好书，但是，先前借阅的读者在书上加了批注：“他是无罪的，所以他是凶手。”我怒了！', '诡异，但是法官伪装成枪杀而死又能骗过其它人，这一点实在太牵强。', '但反正吧这种书每次读完我都会有一点点“何必呢”的不理解', '我看到了荒岛杀人的鼻祖', '至少学到了如果以后再有一个人死亡只由另一个人确定的话那么极有可能是同谋这一说= =']"
失踪的孩子,失踪的孩子,9.1,"['理想的培养、逻辑的思维、高雅的阅读等不能让别人爱你，但却能让你坦然接受不被爱。', '我一度以为二十多岁是一个人最难熬的一段时间，在这段时间里要实现从少年到青年的转换。看了这四本书之后发现人一辈子都在挣扎，只是每个时期面临的困难不同罢了，我们一直都经历着角色的转换。', '会让你在读完最后一行后想要重新翻开《我的天才女友》的第一页。', '也许莉拉吸引尼诺的地方，就是尼诺在她身上，开始看到了以为自己也有的东西，但对比之下他发现自己并没有。她拥有才智，但她没有利用它为自己谋福利，而像贵妇一样在挥霍着自己的才智，就好像对她来说，整个世界的财富都是庸俗的。莉拉的才智是免费的，这就是她让尼诺入迷的原因。“她和其他女人不一样，因为她天生就那么桀骜不驯，不会为任何事儿弯腰。”我们所有人都做出让步了，经过考验、失败和成功，这种让步重新塑造了我们。只有莉拉，没有任何人、任何事可以改变她。不仅如此，随着年龄的增长，她和任何人一样变得顽固和难相处，但她的那些品质一直都原封未动，甚至更加坚固。我们恨她的同时，也害怕她，会对她充满敬意。', '终于明白莱农对莉拉为何如此重要。她既是映照莉拉人生另一种可能性的镜子，又是她精神上的镇静剂。女权问题首先是阶级问题。莉拉一直在与资本家作斗争，但她的理想主义是生活失衡的根源。为了对抗马尔切洛代表的剥削者，她先后求助了家庭、婚姻、爱情、社会的力量，但失败后认知和现实的断裂让她觉得一切都很脆弱不靠谱，哥哥丈夫也有粗野虚伪贪婪的一面，文字和奋斗也没有她设想的巨大破坏力，这种种都让她充满了无序感和不实在感，也就是她多次提到的界限消失。而莱农一直是莱农，没有变成她讨厌的那类人，凭读书就提升了社会地位，拥有了话语权，这在莉拉看来是另一种形式上的反抗胜利。与此同时，莉拉厌恶自己混乱失衡的状态，却没有调整的能力，莱农的脚踏实地和坚韧，是她在混沌中的风向标，不至于完全堕入虚无的基石。莉拉是策划师，莱农是执行者']"
文学回忆录（全2册）,文学回忆录（全2册）,9.2,"['文人论史的精彩之处就在于偏见。', '修行64th。绝对的败笔，木心生前不许出版此书大有缘故在，彼时木心并无那种胸纳百川，不温不火，洋然沛乎的气度，对很多观点很多人物的表达方式略偏激，说从中看出真实的木心，未必能够，老年木心依然有脾气有态度，与这个却大不相同。此外，这本书作为文学史教材更是大大的不合格，优点是木心阅读量大，列举人物作品全面而中肯，而且木心不时爆发的思想精华更让人连呼赞叹。但是，木心观点倾向性太强，对正值发蒙期学子的最初印象塑造性太强，他们未来为了摆脱这些观点所给予的障碍需要花费无比大的努力，一本合格的，优秀的启蒙读本，教材应该用最中肯，不带观点的语句来推介作家作品，引导学生接触它的美与丑，关键的是，接触它的原型，木心这本书远远做不到这一点，虽然书做的是真漂亮，先生，RIP，丹青兄，这次你做错了', '我一直反复告诫自己：多读死人（死了半世纪以上的）书，少读活人书，畅销书尽量别读。但有时候还是忍不住。我觉得此书精彩内容固然不少，但最大的问题是木心胃口太大，中国的经史子集，西方的文史哲，通通要讲一遍。正常人都不可能读那么多书且又有真正领悟。于是大部分只能浮光掠影，插科打诨，尤其是论诸子百家部分，是在是疏漏武断得可怕。', '一小时10块的课就是教他们这些自恋到家毫无用处的废话，我宁愿相信陈丹青他们是同情木心，给他口饭吃才没要求退学费', '啊！！！隔着铅字油印的纸张便可以闻见悠久于二十年前一大票附庸风雅的文化骗子簇拥在身处纽约的木心膝下召开那场嘉年华般令人作呕的文盲狂欢式的可怕盛宴！']"
神雕侠侣,神雕侠侣,8.9,"['我走过山的时候山不说话，走过海的时候海不说话，\r\n我的小毛驴滴滴答答，倚天剑陪我走天涯，\r\n人人都说我是爱上了杨过大侠，才在峨嵋山上出了家，\r\n其实我只是爱上了满山的云和霞，象极了十六岁那年的烟花。', '郭芙一人全力担当起了反派的重任（╯－＿－）╯╧╧', '我是不太喜欢这本书的。之前看的时候不懂爱情，现在懂了爱情不信痴情。尤其是书里的人物性格基本上都让我喜欢不起来。女配们全是花痴女屌丝天天不干正事就知道追星，追杨过这个无敌帅哥。而杨过招蜂引蝶之后留下一句我只爱我姑，您的泡妞技法真是高啊！直接导致郭襄女侠创建峨眉，情窦初开遇见一个跟她搞暧昧的调情高手，你说让她以后能看上谁？', '射雕三部曲中最爱的一部，情大于武。', '要不是所有人都反对，以杨过贪玩搞怪的性格，未必就耐得住跟小龙女清心寡欲的过一辈子。']"
上帝掷骰子吗,上帝掷骰子吗,9.2,"['两朵小乌云打破经典物理学和经典时空观，导致相对论和量子论革命的爆发；普朗克假设打破了连续、平滑的牛顿、麦克斯韦体系，宣告了量子力学的诞生（19001214 ）。玻尔三部曲、泡利不相容原理、德罗布意波、海森堡矩阵与测不准原理、薛定谔方程和猫，从微粒、波动说对决到波粒二象性。概率解释、不确定原理、互补原理，摧毁了经典世界的因果性、客观性和实在性——量子力学毋宁是另一种世界观。爱因斯坦说，上帝不掷骰子，玻尔笑笑说，别去指挥上帝怎么做，而霍金说，量子力学显示，上帝不仅掷骰子，有时还把骰子掷到我们看不见的地方去。哥本哈根坍缩理论、MWI多世界解释，DH退相干多历史，高手对阵，众声喧哗；超弦M理论，“万能理论”（TOE），仍未放弃失落已久的统一之梦，永无止境的探索。图景广阔，通俗易懂，文字漂亮，加一星。', '因为专业和物理还算学得不错的原因，这本书对我来说，相当于把以前在科班学的东西温习了一遍。我想在我写下这段评价的时候，肯定会有很多人不同意。主要因职业原因，以前没看过科普（只看严肃学术）。关于科普的想象大概是用非专业方式来解释专业上的事儿，还不能因为哗众取宠偏离原意。这本书的名字貌似很大，甚至号称中国的时间简史。看完之后觉得更像是一本科学史，并不是严格意义上的科普；内容上涉及真正的物理知识其实并不算多，而且是用小学-初中阶段课外书的语气来写成的，特别烦书中老是出现的“乌云密布、大厦将倾、惊天劈地”等等字眼儿；当然了，我不是在说作者的水平，事实上从书的整体来说作者对现代物理的发展史理解的很透彻，可能是因为对读者的定位貌似有些偏低，所以才用这样的写法吧，从这个角度来说，我认为是有些“矫枉过正”了。', '我最近一直在想怎么在建筑里搞个双缝干涉的照明', '作为一名高中数理化都平衡发展的妹子斗胆翻了这本300多页的史话，前半本作者心中的闪电流星齐飞，八卦故事纵横，内容方面毫无阅读压力，知识集中在高中理化知识范围内，或者说是常识。后半本进入哥本哈根理论，多宇宙理论神马神马的开始晕，但是基本能知道这些个大体神马意思，什么时间顺序，代表人物，最后超弦理论就可以去死了。其中以光的波粒属性作为线索引出了一系列著名的争论，尤以苦x胡克和小心眼牛顿，宽厚的玻尔和执着的爱因斯坦的最为精彩，把那些名字牛x闪闪的科学家们刻画的有血有肉', '必须吐槽，作为《费曼物理学讲义》的Fan，此类戏说乾隆读起来真是，各种概念模糊……物理学必须在非常精准的概念上做延展啊，哪怕是史话也不能如此靠华丽辞藻唬人好么。名字也很商业烂俗，作者顶多算个小说家不是科学家，有此对比，必须向Classic范儿致敬。']"
史记（全十册）,史记（全十册）,9.5,"['小学六年级读的，感觉是二十四史中最好的一套。读完这套书，语文考试古文部分总是满分。', '又看了一遍《淮阴侯列传》。粗略算了这篇文章给汉语言的留下的遗产：胯下之辱；明修栈道暗渡陈仓，独当一面，妇人之仁，背水一战，置之死地而后生，十面埋伏，智者千虑必有一失，国士无双，捷足先登，四面楚歌，逐鹿中原，韩信点兵多多益善，成也萧何败也萧何，传檄而定。乃们这些刷影响因子的弱爆了！', '中国古代，史学是包含在经学范围之内没有自己的独立地位的。所以史部之书在刘歆的《七略》和班固的《艺文志》里，都是附在《春秋》的后面。自从司马迁修成《史记》以后，作者继起，专门的史学著作越来越多。于是，晋朝的荀勖适应新的要求，才把历代的典籍分为四部：甲部记六艺小学，乙部记诸子兵术，丙部记史记皇览，丁部记诗赋图赞。从而，史学一门，在中国学术领域里才取得了独立地位。司马迁的文学修养深厚，其艺术手段特别高妙。往往某种极其复杂的事实，他都措置的非常妥贴，秩序井然，再加以视线远，见识高，文字生动，笔力洗炼，感情充沛，信手写来，莫不词气纵横，形象明快，使人“惊呼击节，不自知其所以然”。所写的虽然是历史上的实有人物，但是，通过“互见”即突出人物某种主要特征的方法，通过不同人物的对比，以及在细节方面的虚构。', '等2015年的新版吧。按陈尚君老师的说法，点校本二十四史里，《史记》卖得最好，但是问题也最多。不过说是点校本，这本的校勘记在哪里呢- -', '这书可以读一辈子 每次看都感觉不一样']"
悲惨世界（上中下）,悲惨世界（上中下）,9.0,"['不要轻易在小说标题里写出‘世界’两个字，除非你也能写出这样自成世界的作品。', '儿时读世界名著实在是浪费。', '小时候我妈不让看，说怕产生消极世界观。这次因为先看了电影，觉得交代得不够清楚，所以下载原著看，所以就有了在地铁上看着手机流泪的我……好多作家是不是都兼修政治，怎么把背景写的那么真实。从小看了太多法国作家的著作，又看了《午夜巴黎》、《巴黎我爱你》、《玫瑰人生》、《两小无猜》、《这个杀手不太冷》、《天使爱美丽》这些电影，逐渐觉得法国的浪漫不是浮于表面，而是渗透骨血的，有天会去吧~', '你相信爱，可是这世界很难让人爱', '拖了半年终于看完了，好像打了一场美好的仗。牛排小男爵这名字就是从这里来的啦。马吕斯真的太讨厌，二十岁该有的毛病他全都有了，可是看看小雀斑的马吕斯，……我就都原谅他啦。']"
看见,看见,8.8,"['看完我在想这不是写得挺好的吗，为什么那么多人吐槽她。后来想到也许时时自省在有些人看来也是一种做作吧。', '我们面对同一个世界，却无法看见同一个世界。', '2013年的第一本书，好久没有一口气不停读完几十万字了。柴静的文章，写得细致、真诚，没有戾气；不刻意煽情，却依然直指内心。她四两拨千斤的劲儿，最动人。', '最近一段时间睡前都在读这本书中度过，一度焦躁，想要搁置，幸而最近几晚心里都很安静，仔细读完后面的几章节。读完想说：不要批评她的文艺腔，她写得非常真诚，在她剖析自己的文字里，我也看到我自己。收获的不仅是新闻业务上的感悟，更多是体味了人生中那些共通的道理和美好的情感。', '朴素有力的传达我都接受到了，很棒！大多负面评价都是哗众取宠。']"
许三观卖血记,许三观卖血记,8.8,"['写口头做菜那段，绝了！几乎难以超越了！', '屌毛比眉毛出得晚,长得倒比眉毛长', '我的笔评不了余华。', '盗版真害人。“一乐只能射在床上了” “喝干了黄河以后，”', '许三观背着一乐去吃面条这个桥段，在高中时把我感动的要死要活，而如今，更触动我的是老年许三观无助的哭泣，到了哪一步，没有安全感都是悬在头上的剑，抚摸喉咙的死神冰冷的手，我现在没有安全感，所以我很理解那种恐惧，要是有了事，不能卖血了，该怎么办呢，配合若干年后阎连科的丁庄梦，别有一番滋味']"
哭泣的骆驼,哭泣的骆驼,8.9,"['《哑奴》真是看一次哭一次。', '19本的三毛全集，初中时候一本本买齐的，我真是按部就班的好孩子。', '跟《梦里花落知多少》《撒哈拉的故事》不同，这本主要写的身边人，自己只是个配角，很多文化观念的冲击，比如撒哈拉革命起义、黑奴贩卖……推荐一看', '每一个故事都那么真实动人，大胡子与我好温馨…', '重看了一遍，鼓起勇气，因为是悲剧……\r\n但是，所带来的震撼却大大少于了5年前……是我开始变得冷漠了吗？o no~']"
浪潮之巅,浪潮之巅,9.0,"['如果要了解互联网，这本是必读之书。', '最近在看这本书和李开复的《世界因你不同》，无意中发现这两本书竟颇为互补──李同学是以自己亲身在苹果，微软，google等的工作经验来谈，更为感性和detail。。而吴同学则更以一种理性的旁观者态度来分析这些IT公司的朝代更替原因。恰恰，李博士几乎在每个IT公司势旺时进入，在势弱时退出。恰好吻合了吴同学的兴衰时间表。。没看过这两本书的同学推荐一起看。', '写得很差，完全不建议阅读。', '#恒阅# 这本书给人最大的启发就是：一个企业能不能活可能是靠自己，但是死不死真的是靠命啊……什么企业基因论，不就是宿命吗？另外，作为一本介绍行业历史的书，如果一定要总结出一些规律，就必须做更深入严谨的研究，否则就可能出现本书的问题：同样的逻辑用在不同的企业案例上会出现矛盾……', '普及性介绍没有什么洞见9.1分有过誉之嫌']"
艺术的故事,艺术的故事,9.6,"['其实这本书应该好好电子化,把里面的各种链接做好,在各种平板设备里一点就直接出来了,实体书翻过去翻过来确实稍显麻烦,有可能的话用上高分辨率的图,Google不是都扫描了这么多画么...反正现在屏幕的dpi都印刷品级别的了,可以放大好好研究一番...', '装帧，纸张，印刷，排版，280的价钱真是要死人不过值得。贡布里希这本书有多好，不在于他的深入浅出，也不在于时代与因果的脉络清晰，对画作的初步分析到位，而是在于他那种谦卑，以至于我真心感受到了“艺术”。只有在看画册的时候，才会觉得不惜一切也想在西斯廷感受一次渺小，去纽约博物馆，乌菲齐，卢浮宫，红场，奥赛，然后站在那些画作和雕塑前，站在那些天国般的教堂里，看提香，伦勃朗，波洛克，弗美尔，拉斐尔，塞尚，梵高。对于绘画真是一窍不通，然而我想，站在那些早已因印刷术被复制到烂大街的原作前，在那些大幅的画像前，还是会像现场听一次交响乐般，怎样都会被打动吧。这一生不在欧洲好好流浪怎么对得起这种不切实际的仰望，那么疏远隔阂，那么不明就里，偏偏又是那么该死的奇迹。', '世界上没有艺术，世界上只有艺术家。', '终于在注意力的极限到来之前把这本书读完了，序言、作为结尾的最后两章是全书的精华。《艺术的故事》好在它不仅是“艺术作品的整齐排列”，更重要的是一种全局视角的历史切入。贡布里希不仅是在完成一本词典一般的艺术史著作，更重要的是他在给初步接触艺术史的人一种看艺术品的视角，一种很难得的审美教育——怎么看待艺术，艺术是什么。感动于它恭谦又富有幽默感却也不失严肃的叙事，感觉像是在听老爷爷讲故事一般，非常喜欢。推荐这本书，艺术审美入门，艺术批评入门，艺术欣赏入门。', '无法想象从欧洲回来后再看这个会有多么后悔']"
灿烂千阳,灿烂千阳,8.8,"['读胡赛尼的书，总有一个感觉：阿富汗曾经真的是一个很美的地方。因为战争……毁了这一切……', '人们数不清她的屋顶上有多少轮皎洁的明月，也数不清她的墙壁之后那一千个灿烂的太阳。', '评分很难！《追风筝的人》一直抓挠着你去把故事读完，《灿烂千阳》却让人有一种永远读不完的感觉。当我们谈论阿富汗的时候我们在谈论什么？政权的更迭只是让悲剧无限循环，暴力就象一个无底洞，根本无法想象那里的家庭、孩子、妇女他们究竟在经历什么，古老的阿富汗早已在无数新闻里幻化成一个有关恐怖主义和战争的符号，你无法想像那里生活着有心、有思想、有感情的真实的人！小说就让你看到了这些人，而苦痛与折磨那样延绵不绝，血泪斑驳，你如鲠在喉，无法下咽。但她们渴望的真情和追求的自由同样如此真实，她们迸发的最后的光芒一如灿烂千阳，令人无法直视。', '当我们带着最后的顽强和希望穿越冗长的黑暗，幸存下来的疲惫身躯会在阳光的照耀下变得温暖而坚实。', '比《追风筝的人》文字更成熟。同样是戳中泪点，的确比《追》的为惨而惨这本更是平淡地用情节用感情打动人。“人生就是这样，在心碎之后，我们还得忍受一次又一次的悲伤。” 我们怎样来到这个世界并不重要，重要的是在离开的时候是一个付出了爱也得到了爱的人，这样就足够了吧。']"
白鹿原,白鹿原,9.2,"['我来浓缩一下这本厚厚的书---在历史的车轮面前，我们都是螳臂当车的歹徒。', '读这本书对我最大的启示之一就是此生该找啥样的女人为伴', '1、我爱田小娥。2、后半部分写得不如前半部精致、有序。3、白灵写得没有我想象当中的那么立体。4、朱先生虽有个牛先生的原型，但也太“神”乎了。5、生育真是中国人生命中最大的事。', '有两个问题比较疑惑：1、第二十五章白嘉轩发现白吴氏仙草得了瘟疫，呜哇一声哭了出来，“仙草自进这个屋院以来，还没见过丈夫哭泣时会是什么样子，这是头一回”，这似乎与第二十章内容矛盾。在第二十章（亦即故事稍早的时候），鹿三承认自己杀死了田小娥，白嘉轩叫鹿三呷酒，“突然涕泪俱下”，“仙草跟丈夫半辈子了也很难见到丈夫有一次忧惧一次惶惑，更不要说放声痛哭了”。可见仙草得瘟疫时见到丈夫哭并非头一回（小说明言白嘉轩哭应该是第三回，更早一回是白秉德老汉去世，那时仙草这位第七个媳妇儿还没嫁入白家）。2、第三十三章，鹿子霖的先祖勺娃为了报复炉头，叫五个叫花子爆炉头菊花，“操一回我给你一块大洋”、“说罢就把一摞子白光光的银元摊到桌子上”，然而勺娃至少要比鹿子霖往上数四、五辈儿，那个时候关中有人用“大洋”吗？', '遍地的黄土，满满的粮仓，豪情的爷们，骚气的婆娘，槽里的牲口，雨后的土香，严厉的家法，世代的交往，死板的族规，乱跳的心脏，破烂的窑洞，冒烟的烟枪，扎肉的草席，放肆的欲望，打滚的娃娃，水灵的姑娘，彪悍的土匪，贪婪的军阀，直挺的腰杆，隐匿的才子，理想的主义，怒吼的秦腔。']"
卡拉马佐夫兄弟,卡拉马佐夫兄弟,9.4,"['你现在的女朋友可以像我当年那样和你聊这些书与音乐么？还是说其实一直一来这些根本就不重要？', '卡拉马佐夫三兄弟分别叫：德米特里·费多罗维奇·卡拉马佐夫、伊万·费多罗维奇·卡拉马佐夫、阿列克塞·费多罗维奇·卡拉马佐夫，然后他们又分别爱上了阿格拉菲娜·亚历山德罗芙娜·斯维特洛娃、卡捷琳娜·伊万诺芙娜·维尔霍夫策娃……求赐我一死。', '“发现陀思妥耶夫斯基就像发现爱情，发现大海那样，是我们生活中一个值得纪念的日子。” \n——豪尔赫•路易斯•博尔赫斯', '荣如德在译后记中写道：“极而言之，陀思妥耶夫斯基就是俄罗斯。” 看完这本书后，毫不夸张的说，陀思妥耶夫斯基是全世界。', '愿我们的心走向辽阔，如奔腾出海的河流。']"
树上的男爵,树上的男爵,9.1,"['现在，如果有人和你说：一个人上了树一辈子不下来，请你把他的一生写下来。我相信如果没有出色的想象力，一定是无聊且荒诞的。但是卡尔维诺竟然写得跟真的似的。不过相对于《百年孤独》，同是虚构写作，百年孤独越看越像现实，卡尔维诺的这种现实性则不是那么强烈，你也相信他是真的，但是它更像是另一个世界发生的。完全是创造了一个平行宇宙的感觉。强烈推荐！', '精彩、动人、幽默、充满想象力，卡尔维诺果然名不虚传！他说他阐释了一个知识分子该如何在时代的洪流之中进退，我想，这便是一个理想主义者，为了建设一个美好的世界而坚持不懈的一生。“柯希莫·皮奥瓦斯·迪·隆多——生活在树上——始终热爱大地——升入天空”，男爵的墓志铭总结了一切。他反抗世俗，却不厌世，保持距离是为了“与他人真正的在一起”，是为了“通过对个人的自我抉择矢志不移的努力而达到的非个人主义的完整”。天空似乎永远遥不可及，就像书中的十八世纪末十九世纪初，人类为了追求自由、平等和博爱，轰轰烈烈的掀起革命，以崇高的理想开始，最后却以动乱和专制结束。但男爵在生命弥留之际的纵身一跃，归于苍穹，或许代表了卡尔维诺的愿望：忠于理想，面对现实，永不放弃。这个世界不完美，但它值得我们去为其奋斗', '发人深省的是，男爵成为一个完整的人，是从他疏离人群，爬到树上开始的。另外，三次死亡的描写（男爵的大盗朋友因为迷上了读书，变得对侵略和攻击不再感兴趣，自我打破了江湖上令人闻风丧胆的传说，最后不再害怕他的人们抓住；男爵的母亲在一个气泡停止中死亡，轻与重的处理；男爵的死亡，他一生在树上，热爱大地，飞上天空），让人拍案。', '卡尔维诺的脑回路一定是和普通人不同的。他的文字有魔力，水汽氤氲，烟霞漫天。他是住在树上的人，与凡间有距离，他一开脑洞，就把真实和幻想揉在一起给揉碎了，喂给读者吃。', '“许多年以来，我为一些连对我自己都解释不清的理想而活着，但是我做了一件好事情：生活在树上。”最后一章忽然悲从中来。很多时候都有读马尔克斯的感觉。']"
爱你就像爱生命,爱你就像爱生命,8.8,"['“李银河，你好哇”——这六字太动人了。有多少人因为他们再次相信爱情的存在。', '你怕什么呢，我永不冷漠。', '活过 写作过 爱过 最近两个月读了30多本书 这种畅快感远远高于买了一堆没用的Hermes等奢侈品', '“你想知道我对你的爱情是什么吗？就是从心底里喜欢你，觉得你的一举一动都很亲切，不高兴你比喜欢我更喜欢别人。你要是喜欢了别人我会哭，但是还是喜欢你。你肯用这样的爱情回报我吗？就是你高兴我也高兴，你难过时我来安慰你，还有别爱别人！”——读的人比写的人还脸红。', '""一想到你，我这张丑脸就泛起微笑""        ']"
邓小平时代,邓小平时代,9.1,"['挽狂澜于既倒，扶大厦之将倾。', '部门图书角借来之后只草草翻了几页就放到书架上了。前几天下载了港版电子版到k5上，越读越上瘾。后来发现国内版本被阉割了很多，就干脆只看kindle上的完整版了。', '一部长达754页的入党申请书。', '优点是资料多文笔通顺，缺点是用官方口吻描述邓的动机，了无新意。对普通读者来说能系统看到邓的生平，不过比不上《中国改革年代的政治斗争》这类书好看。PS.纵观傅高义写作史，这哥们真是紧跟‘为胜利者书写历史’潮流', '在书店翻完就成，买回家则如同鸡肋。傅高义写这部书的初衷就是向西方人介绍邓小平和他经历过的大时代，可叹的是，今天我们却要把这样一部写给别人的入门书当作我们了解自我的红宝书。']"
窗边的小豆豆,窗边的小豆豆,8.7,"['教育，就是要蹲下，看看孩子们所看的高度。', '近一百年前，就有如此前瞻性的教育理念，有这样的校长和妈妈，是作者之幸。', '做一颗小红花真的是生活所迫，如果可以我想做颗小豆豆，想发芽就发芽，不想发芽就不发芽。。', '在地铁上，两次读到眼睛发湿，赶紧眨了眨眼，把这一段温暖偷偷藏在心里', '顶级的教育学其实就是因才而教！教育学的设计典范，不知道我的孩子有没有机会去上这样的学校！']"
人间词话,人间词话,9.0,"['王国维这个冯延巳脑残粉是在用整本书黑姜夔啊。。。', '大学问并不一定总是艰涩的.', '其实人间词话，不能算多有创意的东西，尤其是现在看来，算不得经典，时代的产物吧', '国学大师叫你如何judge。王国维最欣赏李后主，冯延巳，欧阳修，苏东坡，秦少游，周邦彦，辛弃疾，纳兰性德。但对另几个词人也是从头刻薄到尾，说吴文英，张炎“一雕琢，一敷衍”，像他们这样作词是“一日作百首也得”。另外，王国维是跟姜夔有仇吗，正面反面都用他来当教材，如果姜夔本人来读这本书，心情的大起大落估计能让他当场吐血。#再阅人间词话', '果然是学然后知不足，梦窗梅溪何许人都是靠百度的。']"
永恒的终结,永恒的终结,9.0,"['我十年前想到的点子，原来在六十年前就已经被写成小说了。', '妹子你演技这么好一定是第二基地来的', '我不明白为什么有人读过之后会有深深的恐惧感，先不说书的结局是如此的光明和热血。仅就基础理念来讲，对于未来拥有无限种可能的选择权，难道不是人类为数不多可以称之为有价值的信念么？', '一开始以为是个爱情故事，读到后来发现居然可看作大基地系列外传，读完想了想确实是个爱情故事嘛XD', '爱情部分太烦了，为了一个女人要死要活的中二男主真是想把他拖出来暴打']"
我们仨,我们仨,8.7,"['我和谁都不争，和谁争我都不屑；我爱大自然，其次就是艺术；我双手烤着生命之火取暖；火萎了，我也准备走了． ', '文革之前，中国尚有文人学者大学问家。文革之后，旧人渐卒，再无后生出。所谓“世间好物不坚牢，彩云易散琉璃脆”', '“我们只有死别，没有生离。”', '    说实话，我并不喜欢这本书的第一部和第二部，尽管其中体现了一家三口之间的亲情和温情，可我实在不喜欢这种梦境的表述形式，感觉将原本很真的情感弄得很不真。\r\n    然而我的确实在实在很喜欢这本书的第三部，也就是对生活的回忆这部分，朴实的叙述之中蕴含着浓浓的深情，让人不由得感叹，文字的表述根本不需要技巧，需要的是一种情感的流露，或者说，文字的技巧达到一定的高度便会仿若无技巧般，正如化妆的高境界是让人看不出你化了妆。', '好看当然是很好看，不过杨绛刻意压抑着什么没说，却又让你强烈感知到它的存在。']"
台北人,台北人,8.9,"['乡愁也是有阶级的。', '其实都不是台北人，是一个个曾见证过大陆繁华的旧精魂。此生谁料，心在天山，身老沧洲。', '除有一两篇过于清淡外，其他都很好。上大学时，白先勇带着苏州昆剧团去我们学校演青春版《牡丹亭》（后来才知道是首演），同学邀我一起去看，当时沉溺于西方文化不可自拔，觉得没什么可看的，现在有点后悔……还记得那同学看完后跟我讲他去洗手间时偶遇到白先勇，愣在那里，想打招呼又开不了口。没想到白先开口对他说了声：“你好！”', '尹雪艳是不老的幽灵，安详的立在她的公馆窗边，看着朱青，金兆丽，窦夫人他们来来往往，逐渐老去。', '白先勇最擅长写枝头抱香死的凋零，愈发强撑的体面，愈发败絮的内里。张爱玲说，悲壮是属于英雄的，普通人只有惨淡。这本书就是涂脂抹粉的惨淡，十八年老了王宝钏。']"
这些人，那些事,这些人，那些事,8.8,"['只要功夫深，《读者》磨成吴念真。', '看完这本书之后用google map的街景在台北逛了很久...', '看完之后搞不清：究竟是故事多，还是善于发现故事', '《故事会》的插图，《读者》的故事。', '这本书的好，是来自于你的内心，文字只是那个引罄']"
巨人的陨落,巨人的陨落,8.9,"['我本来以为推荐言过其实了，尤其书封，什么平均三个通宵读完，哼。嗯，书封确实错了，我用一天一夜读完了。', '肯•福莱特其实跟金庸很像，他在欧美出版界的地位绝不逊于金庸在中国的影响力，而且他们都是那种肚子里装满真材实料但绝不以此刁难读者寻找古怪存在感的好作家。', '太好看了，肯福莱特讲故事本领惊人，一战背景的大格局，各国战事情事信手拈来，每个人物饱满立体栩栩如真，感情充沛毫不做作，随时都可能让人爆泪，《战争与和平》既视感。', 'Ken Follett是我最爱的三位英国作家之一，另两位是Angela Carter和Neil Gaiman。写作风格差别巨大，但是一样好看！', '可能期望太高了。可能是被吹捧的太过了。觉得非常一般。数次读不下去。以后真是不能看书评。简直吹捧成神作了。']"
诗经,诗经,9.4,"['为了起名字。我读完了。', '＝。＝每次读诗经都觉得自己像不识字的文盲', '相比后来的唐诗宋词越来越华丽的辞藻，我更喜欢诗经的简约~直白而不平淡，能以春秋笔法咏物~古人云，诗以言志，诚然~~', '毁于评析，令人瞠目结舌', '中国古代最早的一部诗集，单冲着孔子编订就必须五星好评…']"
西游记（全二册）,西游记（全二册）,8.9,"['把这书列为四大名著之一,说明我们民族还是有眼光的.', '“老不看三国，少不看水浒。男不看西游，女不看红楼。”扯淡阿...趁年轻到来之前没读过才是悲哀的呢。经典永远值得回味', '第一次读。。原来大部分时候是猪八戒在挑担子。', '可与《红楼梦》并肩的文学大成之作。解读不知道多到哪里去了，作者是吴承恩还是丘处机还是其他人到现在也没到底搞清楚，但是实实在在的文字，让人忍不住喜欢，越读越会发现很多文学文字的乏力。', '重读西游记，真的是太太太好看了！小时候读这本书只看降妖除魔，现在反而不在乎什么妖怪什么神通，发现了之前忽略掉的不少段子与人情世故。']"
