title,score,score_num,short1,short2,short3,short4,short5
史蒂夫·乔布斯传,8.7,"(
                    44498人评价
                )","

.intro p{text-indent:2em;word-break:normal;}


这本乔布斯唯一授权的官方传记，在2011年上半年由美国出版商西蒙舒斯特对外发布出版消息以来，备受全球媒体和业界瞩目，这本书的全球出版日期最终确定为2011年11月21日，简体中文版也将同步上市。 两年多的时间，与乔布斯40多次的面对面倾谈，以及与乔布斯一百多个家庭成员、 朋友、竞争对手、同事的不受限的采访，造就了这本独家传记。 尽管乔布斯给予本书的采访和创作全面的配合，但他对内容从不干涉，也不要求出版前阅读全文的权利。对于任何资源和关联的人，他都不设限，甚至鼓励他所熟知的人袒露出自己的心声。 “我已经做了很多并不值得自豪的事情，比如23岁时就让我的女友怀了孕，以及我对这件事的处理方式”，他说， “对我而言，没有什么不可以对外袒露的。” 谈及和他共过事的人以及竞争对手，他直言不讳，甚至尖酸刻薄。他的激情、精力、欲望、完美主义、艺术修养、残暴还有对掌控权...(展开全部)
",刚刚看完！控制欲一直是主旋律，有看穿人性最本质的力量，非好即坏的处事原则，懂得专注，社交上不走常规路！每个伟人不是完人，只是他创造了值得我们去记得的东西！就如同一直用的iPad一样，突然发现那只是37章的事情了，他的生命也到了最后2年，可是还是一如既往，那么专注于自己喜欢的东西，一直活在当下，这样的人真好，我也要努力！,苹果改变科技史，皮克斯改变动画史，ipod改变音乐史，iphone改变手机史，ipad改变电脑史，这一切的一切改变都因有乔布斯。只是独特的魅力下也对应着暴躁、偏执、谎言、控制欲强、极端完美主义这些黑暗点。也许正应了那句话罢：天才亦凡人！,终于读完了。一本500多页的书就这么浓缩了一个人56年的生命，那么多耳熟能详的产品、潮流、品牌甚至音乐都与他相关。他说，伟大的艺术家和伟大的工程师是相通的，都有自我表达的欲望。,这个传记作者的水平好生了得……
美的历程,9.2,"(
                    13553人评价
                )","

.intro p{text-indent:2em;word-break:normal;}


本书是中国美学的经典之作。凝聚了作者李泽厚先生多年研究，他把中国人古往今来对美的感觉玲珑剔透地展现在大家眼前，如斯感性，如斯亲切。今配以精美的插图，本书就更具体地显现出中国这段波澜壮阔的美的历程。 《美的历程》是部大书（应该说是几部大书），是一部中国美学和美术史，一部中国文学史，一部中国哲学史，一部中国文化史。 　　　　 ——冯友兰 这样的著作能有多少呢？凤毛麟角吧，以十几万字的篇幅来完成这样一个”美的历程”，高屋建瓴，势如破竹，且能做到“天网恢恢，疏而不漏”，该细密处细密，该留连处留连，丝丝入扣，顺理成章，在看似漫不经心的巡礼中触摸到文明古国的心灵历史，诚非大手笔而不能为。 《美的历程》一书真是写得英姿勃发。才气逼人。单是标题，便气度不凡：龙飞凤舞。青铜饕餮。魏晋风度、盛唐之音，更不用说每过几页就有一段华彩乐章了。实际上，《美的历程》是可以当作艺术...(展开全部)
","

.intro p{text-indent:2em;word-break:normal;}


李泽厚，当代著名哲学家、美学家和思想学家，湖南长沙人，生于1930年6月，1954年毕业于北京大学哲学系。曾任中国社会科学院哲学研究所研究员、巴黎国际哲学院院士、美国科罗拉多学院荣誉人文学博士。李泽厚的《美的历程》、《中国近代思想史论》等著作影响极大，从者甚众，人称“青年导师”。90年代，李泽厚客居美国，出版了《论语今读》、《世纪新梦》、《己卯五说》等著作，对中国未来的社会建构给予沉甸甸的人文关怀。他提出的“主体性实践哲学”、“心理积淀说”、“情本体”、“偶然性（命运）”、“后马克思主义”、“儒学四期说”等观点对中国近几十年的社会文化和思想产生了很大影响。 李泽厚继1988年当选巴黎哲学院院士之后，2010年出版的以权威和标准严格著称的《诺顿理论和批评选集》（第二版），他的著作与柏拉图、亚里士多德、休谟、康德、莱辛、黑格尔等大哲学家的代表作一起入选。...(展开全部)
",读者和作者之间也需要化学反应。有的书尽管评价不错，但在我读来，坚持了大半，感觉还是淡淡的，喜欢不起来，最后我不再挣扎，选择放弃。印象中《我的天才女友》和《卡罗尔》就是这一类，《美的历程》也是。字里行间的气质让我有些反感，盖过了内容，于是匆匆读了大部分，写了一篇课程读书报告。不过多少还是学到一些“艺术的意味”等种种理论启发。个人喜好无可厚非，读书这事上不必太苛求自己。,"开篇没有期待的那么好，直读到秦汉时期才渐入佳境，独具灵韵，有些观点以西方美学的视角来审视中国传统艺术，魏晋风度和盛唐之音应该是最具感染力的两部分。
美的历程是指向未来的。诚如车尔尼雪夫斯基所说，尽管是莎士比亚，也不能代替今天的作品。艺术只有这样才能流成变异而多彩的巨川，另一方面，艺术也不乏继承性和统一性，因此古典作品中的审美情趣和艺术风格仍然与今天人们的感受爱好相吻合，让人产生亲切感。",诚如车尔尼雪夫斯基所说，尽管是莎士比亚，也不能替代今天的作品，那么我读读还没有完全成为明日黄花的泽厚，当不为过欤？同身为中国现代美学三派，对外的朱光潜入乎马哲而毁了功底；比较的宗白华则胜过其学生刘小枫，可见饱含华夏民族盛唐精神，我为其贬晚唐引以一憾；稍晚的对内的泽厚是入乎马哲而能出之的人，时代如此这般，再好也就异端了！有意味的形式，美与自由是其核心辩证，不赖。对李白和杜甫的盛唐之音辨析，对苏轼和陶...
送你一颗子弹,8.6,"(
                    122815人评价
                )",好吧，我承认我手贱，不喜欢还是硬着头皮读完了。刘瑜女士惯常的模式就是脱离语境，把两种文化现象在表象的层面上扯在一起横向比较，不知纵向，然后得出一个西方中心论视角下的简单粗暴结论。欠缺女性主义意识的小女子情怀与世俗化的小聪明打底，加一点学术花椒、文艺/伪文艺鸡精，就乱炖出了知识结构破碎的所谓文化/政治随笔。她所呈现所表达的自由主义看来从来不通向真正的自由，更不通向生存方式多元的社会图景。我真的很想问...,怨妇刘的怨妇体，看什么都不顺眼，看什么都看老娘自己心情！LOW！！！,原来就是一本博客书，骗钱的味道很重。文章有点意思，也仅仅是有点意思。,无论周围有多少人称赞，我还是觉得这位小资的女公知，浪费了这样好的一个书名。,刘瑜和饭饭这样的作者，永远聪明的既接地气，又有腔调。谁给打的标签是：“装逼青年”啊，写的这么平易近人还装逼？你看新闻联播的时候会不会脑溢血啊。
苏菲的世界,8.8,"(
                    31698人评价
                )",哲学这种书 不好评分的。,刚开始很易读，到后来就越来越难理清关系。既然每个哲学派别和核心都是发展中的，都是不断演化的，那就是说这些都是为了更接近真相却又永远抵达不了。那么了解每一个哲学家的思想都是片面的，而每个哲学家的思想都是自成一体自圆其说。总体来说，了解哲学史就是了解人类思想构成和进步的过程，所有的基本法则都是可以归一的。不易想深了去看，这书不在于探究而在于普及哲学。可以反复读。若觉得看起来吃力要放一放。,高中的时候，每天晚上熄灯以后，就躲在被窝里看，最晚看到11：30，只好叫自己赶快睡觉了。作为一本出色的哲学入门读物，它为我打开了一个世界，故事本身的写法就是一种新奇的启示方式，一直很精彩，很感激，现在还是很喜欢。,看philosophy就像喝咖啡一样，越看越清醒。,很适合我这种哲学白痴，读了两年还没读到底
爱的艺术,8.8,"(
                    26417人评价
                )",现代人在爱情问题上常犯三个错误——1、只关注自己有没有吸引异性的能力（男性追逐名利权势，女性注重容貌身材服饰），而不关注自己是否具有爱他人的能力；2、把爱的问题归结为对象问题，而不是爱的能力问题，以为只要找到合适的对象就能幸福美满；3、搞不清“堕入情网”和“持久的爱”之间的区别，因寂寞而爱恋，因了解而分开。,看这本书的过程中我有一种被教导“共产主义最终将解放世界的感觉”，这本书写的太教条、太枯燥啦。任何书，如果只从向善的方面来谈一个话题，只能流于空洞，最终教育出一个一个的伪君子。可能我是粗人吧，没从中学到什么东西。用13分钟看完此书。,火车上看书真受罪，严重影响阅读注意力速度。不过此书的内涵绝对值得反复理解。爱的灵魂在于“给”，正如弗氏所言：爱一个人就是要献出自己，而不期待得到回报，但相信自己的爱一定会唤起对方的爱……,客观来讲，这本书有值得一看的内容。但是作者在第二章第一节里强调“男子和女子只有在阴阳两极结合中才能找到内心的统一”，并且毫无根据地说“因此同性恋爱者永远不会脱离孤独的折磨”，实在是叫我无法认同和忍受。,引用《你往何处去》的一句话：如果艺术不把人生美化，那么生活本身就是毫无意义的，就会常常以猴子的面貌出现。
我也有一个梦想,9.0,"(
                    12369人评价
                )",讲述方式不错，故事生动，法律思想明晰，但是有些部分有些拖沓。颇有些结构性的洞见,近距离看美国四部曲算是全部读完了，真的想说，要是人人读林达，这国才会有希望——因为常识才是这里最匮乏的,每一本都是渐入佳境。开头看似枯燥的话题（至少对我来说，跟政治挂钩的都多少显得有点让人皱眉头），都很快变得鲜活起来，这一本同样好看，都是有血有肉的故事。虽然是与我们本身可算遥远的种族的问题，但是那种反思让所有人都能产生共鸣。,书名真是顺应当下“我的中国梦”这一潮流。但作为一个中国人，我想不管我们的中国梦有多么的现实诉求，都不会实际到去渴望“希望我天生的肤色能让我获得同等的社会地位和权力”，因为我们从未担心过这个问题。读过林达夫妇合著的这本书，让我再去看诸如《勇者无惧》、《林肯》之类题材的电影，我想我会感概万千、欣慰万千。,推荐，种族问题的演化历史，既有大处着眼的大局分析，也有具体的历史事件支撑，中间安插了作者的个人感受，210号公路案件、五月花号渊源、《独立宣言》中的妥协、阿姆斯达事件、南北战争、马丁路德金的非暴力抗议、种族隔离在教育制度中的气绝、平权法案的推进直到今天，无数人秉承着各自的信念，实现了种族歧视至少是在桌面上的消失，阿姆斯达部分和南北战争时人们各自站定立场的部分给了我深深的震撼。不考虑美国现状是否对种...
九州·缥缈录,8.9,"(
                    2905人评价
                )",从2019年1月2日到2019年1月4日凌晨，六本，疯狂，但值得，太痛快了，畅快淋漓，江南就是有这样的本事，从《龙族》就知道了，他可以。,当年我还在初中，想知道倔强的姬野到底怎么了，现在研究生毕业，看完，还是要追问，乱世同盟别停留在人设啊！！！！坑王！！！快来洗白可怜的小野鸡！！！,反省一下自己傻逼的青春，到底成就了多少别人画的饼。,"讨厌啊，等我买了才出新版55555
缥缈录是执念，也不知有生之年能否等到捭阖录~~~",天长地久有时尽，此坑绵绵无绝期
彷徨,8.9,"(
                    18248人评价
                )",第一次从头到尾读完了彷徨。鲁迅的两部人世小说集取名的不同，直承了呐喊更多是对文化与社会的批判，而这本册子则偏重家庭和生活的困局。尽管两者同样对人性洞悉透彻、立意直切横绝，但彷徨一书，显然以更亲近世俗的视角描绘了世俗的艰困、束缚与隔阂，以更贴合人生的笔触刻画了人生的离索、孤独和寂寞。在小说的篇目上，教科书往往高捧祝福，我却更流连于伤逝。它将爱与生计的冲突，推至极限，把初生的情侣放上万丈悬崖，令人想又...,鲁迅先生的小说是一流的。,"两点感触：
1.中学生读得懂个鬼的鲁迅。
2.《孤独者》一篇最佳，原以为魏连殳又是孔乙己式的可怜人，没想到他也吃起人来了，这可真是神转折，令人拍案叫绝。
然而现在又有谁能救得了孩子呢，现在也照旧谁都救不了。无法可想。
总体来说《彷徨》中的每一篇单独拿出来都是佳作，文学性比《呐喊》又提高了一个档次，只可惜只有《祝福》一篇有名，不免令人遗憾。",大抵是要重读的,《彷徨》中的人物走的是一条明显的下行路线，人物的悲剧性藉由其命运的恶化或曾经纯真美好信念的消亡而呈现。在作者有意识营造的灰暗阴霾的大背景下，这种悲剧显然无法抗拒。鲁迅的作品或许可以引人深思，引人追寻和鞭挞悲剧产生的社会根源，然而命运的恶化仅仅只是改造社会便可以彻底消除的么？
浮生六记,8.8,"(
                    37422人评价
                )",如果有条件的话，一定要躺在被窝里读；如果运气好的话，窗外寒风凛冽或者狂风暴雨。守着一盏暖灯读《浮生六记》，此生足矣！,盛名之下，其实难副，聊以消遣罢了,沈复真是个懦弱的男人啊！只能发这种感慨，所谓一生坎坷，不过是离开父亲的钱财就无法谋生，携芸娘寄人篱下，借债度日，即使如此潦倒，还要终日品茗论诗，招待朋友，让芸娘拔钗沽酒。被逐离家，是芸娘不待见于翁姑；芸娘之死，是被本应给自己作妾的娼妓辜负，他沈复唯一的错就是不该和芸娘恩爱甚笃，致招天妒。芸娘是跟着你个没用的男人颠沛流离有病没钱治死掉的好吗！！！,我觉得芸娘有女同倾向，真是不喜欢沈复啊,好可爱。不明白为啥老有人骂作者，如果他不是这么率真和不上进，怎么可能有浮生六记，你总不能指望曾国藩也这么有趣吧。
目送,8.6,"(
                    175028人评价
                )",当blog看看还行，印刷成出版物就没那么庄重了。,"人生本来就是旅程。夫妻、父子、父女一场，情再深、义再厚，也是电光石火，青草叶上一点露水，只是，在我们心中,有万分不舍。",矫情,驚醒自己：一個人不能自我陶醉成這個樣子。。。,龙应台实在是一个悲天悯人的人，对父母、儿女、兄妹，还有异国他乡、颠沛流离者的关爱，让你不能不觉得，她是孤独的。也许就是这种孤独，让她有了一颗更加细腻、敏感的心：“人世间大大小小的起起落落，最后还是沉寂于生活中的点点滴滴。龙应台的文笔出众，更出众的是她那份细微的感知生活的之美一颗心。”我读此书，没有太深感触，恐怕是阅历还不够丰富吧。
亲爱的安德烈,8.6,"(
                    96892人评价
                )",太动人了，搞得我超级想生孩子,我知道他愛我，但是，愛，不等於喜歡，愛，不等於認識。愛，其實是很多不喜歡，不認識，不溝通的藉口。因為有愛，所以正常的溝通彷彿可以不必了。,用“太赞了”来形容还是嫌苍白。,觉得安德烈写的比龙应台好。龙有几封不像是写给儿子的，像秀给大家看的。,母子通信挺好的方式。但是全书读起来却是怪里怪气的。然后，我明白了，这母子俩眼界所限。困于自己的世界，虽然处于多文化状态中，却并不能真正去了解，拥抱不熟悉的文化。尤其是刚刚读到的关于香港没有社区一说。其中有个读者来信太对了，茶楼吃茶就是香港的社区文化。而这对母子对此视而不见，执意寻找欧洲的咖啡馆文化。倒是老二菲利普懂得尊重文化。说到底，龙应台还是个没有根的人，没有identity的人。她自己说她说难...
万水千山走遍,8.8,"(
                    31284人评价
                )",若出门旅行便要拿出来读,其中有段记录敦煌的文字 以及关于对祖国的热恋 打动了我,用一生的力气去行走，去记录。重读时，又有和儿时不同的感触。多了羡慕却少了向往，做不到如此洒脱也就只有在她的故事里沉迷的资格。,重读三毛，愈发觉得自己的经历平淡无奇，仿佛没真正活过一般,清冷通透的语言淡淡诉说着南美洲的所见所想，明显是没了欢乐，字里行间透露着对亡夫的思念，只是对同伴的埋怨似乎不像是我所想的三毛。但是谁规定像三毛这样的女人不能是个怨妇？
野草,9.3,"(
                    9035人评价
                )","

.intro p{text-indent:2em;word-break:normal;}


本书所收散文诗23篇〔包括一首打油诗和一出诗剧〕，最初都曾陆续发表于1924年12月至1926年1月的《语丝》周刊上，《题辞》最初也曾发表于1927年7月2日出版的《语丝》第138期，发表时署名均为鲁迅。 本书于于年1927年4月由作者亲自编定，同年7月由上海北新书局初版印行列为作者所编的《乌合丛书》之一。此后印行的版本，除个别字和标点有所不同外，各篇文字大都和初版相同。《题辞》在本书最初的几次印刷都曾印入；后来被国民党政府书报检查机关抽去〔鲁迅在1935年11月23日致邱遇信和1936年2月19日致夏传经信中，均提及此事〕，至1941年上海鲁迅全集出版社出版《鲁迅三十年集》时才重新收入。《野草》的封面画系孙福熙所作，初版封面题字署“鲁迅先生”，后按鲁迅意思改为“鲁迅著”，鲁迅在1927年12月9日夜致章廷谦信中曾提及此事。 鲁迅写作《野草》时，适值...(展开全部)
","

.intro p{text-indent:2em;word-break:normal;}


鲁迅原名周樟寿，字豫山，后改名周树人，字豫才，浙江绍兴人。少年时代在家塾学习诗书经传，喜欢野史杂录和民间绘画艺术。1898年就读于洋务派创办的南京江南水师学堂，数月后重考入江南陆师学堂附设的路矿学堂，开始接触新学。1902年到日本留学。4月入弘文学院，1904年4月结业，6月入仙台医学专门学校。这一时期开始参加各种民族民主革命活动，广泛涉猎西方近代科学文艺书刊。最早的一篇译述文章《斯巴达之魂》前半部分发表于l903年6月在日本出版的《浙江潮》第5期(后半部分载于第9期)；同年在东京出版了第一本翻译科幻小说《月界旅行》。1906年弃医学文，希望以文艺改造国民精神。筹办文艺杂志《新生》，未果，转而在《河南》杂志发表《人之历史》、《摩罗诗力说》、《文化偏重论》等重要论文。与周作人合译《域外小说集》第一集，1909年出版。1909年夏回国，先后在杭州浙江两级...(展开全部)
",我不愿彷徨于明暗之间，我不如在黑暗里沉没。,野草，根本不深，花叶不美，然而吸取露，吸取水，吸取陈死人的血和肉，各各多去它的生存。当生存时，还是将遭践踏，将遭删刈，直至与死亡而朽腐。但我坦然，欣然。我将大笑，我将歌唱。,照见灵魂之大苦痛大悲悯。绝爱之。
野火集,8.8,"(
                    28448人评价
                )","

.intro p{text-indent:2em;word-break:normal;}


龙应台，祖籍湖南衡山，1952年生于台湾高雄，1974年毕业于成功大学外文系，后赴美深造，攻读英美文学，1982年获得堪萨斯州立大学英文系博士学位后，一度在纽约市立大学及梅西大学外文系任副教授。1983年回台湾，先在中央大学外文系任副教授，后去淡江大学外国文学所任研究员。1984年出版《龙应台评小说》一上市即告罄，多次再版，余光中称之为“龙卷风”。1985年以来，她在台湾《中国时报》等报刊发表大量杂文，小说评论，掀起轩然大波，成为知名度极高的报纸专栏作家，以专栏文章结集的《野火集》，印行100版，销售20万册，风靡台湾，是80年代对台湾社会发生巨大影响的一本书。1986年至1988年龙应台因家庭因素旅居瑞士，专心育儿。1988年迁居德国，开始在海德堡大学汉学系任教，开台湾文学课程，并每年导演学生戏剧。1988年底，作为第一个台湾女记者，应苏联政府邀请...(展开全部)
",真的写得很差很差，龙应台，你妈问你为什么不生气？,虽相对于台湾，大陆的社会关系、文化背景、历史因素等更加复杂和黑暗，但是同属中华文化而且曾经也经历过极权高压统治，台湾这几十年来一点一滴的变化值得研究，但这是一个不好学的民族，有的更多是自卑和自大,历史总是这么相似！,初看觉得震撼，现在大陆有的颇多问题原来在30年前的台湾一样存在，于是看到未来，也许有一天大陆也会像台湾一样干净、整洁、有序；临看完又觉得书中说的好多价值观早就被大家接受了，看多了居然有些反感，作者高高在上自以为是教科书；噢，对了，30年前台湾民众普遍能接受自称中国人，短短30年，身份认知为何转变得如此之快？
昨日的世界,9.2,"(
                    8870人评价
                )",由于韦斯安德森的《布达佩斯大饭店》捡起这本书，算是一种精神气质两种截然不同的表述吧，茨威格平实得有些乏味，偶有妙喻,哲学和文学，我在一座小城偶遇他们。和维也纳的孩子没啥区别,   很直白的散文叙述，自传性质浓厚，颇能一见当时社会的风貌和思想，也是作者观察入微之故。那段历史，也恰应和，我国自五四以来至今的世事变迁。读来唏嘘，更有压力感，深恐自我见识不足，以至于堕入时代的洪流中而犯下错误，这恐怕也是文革之后的心理暗疾。,我认为好的书籍胜过最好的大学，这个爱默生的公理是放之四海而皆准的。,“我们今天的人已不得不使自己渐渐习惯于生活在一个没有立足点、没有权利、没有自由、没有太平的世界。我们早已为了自己的生存而摒弃了我们父辈们的以为人性会迅速和不断提高的信念。” 书里这段话放在今天依然适用。茨威格认为二战使人性倒退近一千年，然而放眼望去现如今的社会，恐怕这种倒退自那以后从未停止过。
情书,8.6,"(
                    81675人评价
                )","

.intro p{text-indent:2em;word-break:normal;}


日本神户，渡边博子在未婚夫藤井树的三周年祭日上又一次陷入到悲痛和思念之中。博子在藤井树的中学同学录里找到了他在小樽市读书时的地址。由于抑制不住对爱人的怀念，博子按着这个地址给远在天国的藤井树寄去了一封充满问候和思念的书信。 不可思议的是，不久博子竟然收到了署名为“藤井树”的回信。经过进一步了解，这个藤井树是一个年轻的女子，而且她还曾经是男性藤井树的同班同学，原来是博子从同学录中误抄了她的地址。为了多了解一些男友在中学时代的情况，博子继续与女性藤井树保持书信来往。而藤井树在不断的回忆中，竟逐渐发现中学时代那个和自己同名同姓的少男曾经对自己产生过一段真挚的感情…… 《情书》由一个同名同姓的误会开始，通过两个女子书信的交流，以含情脉脉的笔触舒缓地展现了两段可贵的爱情。女主角博子对藤井树的眷恋，两个藤井树之间朦胧的情感，都没有由于藤井树的意外死亡而枯萎，而通...(展开全部)
",他的小说不输电影,最最清新纯净的小说了，在清新和纯净都还不是嘲讽的词的时候读到，亦是幸运吧。死亡使一切都变得坦荡温柔起来。,严格来说我不太喜欢日式小说,最原始的爱情，莫过于没有物质羁绊，没有肉欲缱绻，没有任何奢望的单纯。成年之前，这种爱情往往不知因何而起且遍布校园，走出校园，大多枯萎，为数不多得几束则显得弥足珍贵，历久弥新。好好去爱吧，孩子们，有一天你会感激，因为一块橡皮，你和某人漫步在夜色中，听着蛐蛐鸣叫，讨论一道未解的数学题
球状闪电,8.7,"(
                    49208人评价
                )",其实三体里的科学概念都比较好理解，看这本因为没学过高级物理，到了波粒二象性和量子化的部分就比较难完整的想象出来。读了刘慈欣自己写的后记，应证了自己的一些感受，球状闪电着重塑造一样东西，并不是一个完整的世界的科幻想象。所以从效果上来说，没有那么恢宏，但是单从这一样东西出发，我觉得球状闪电在书里的构想依然让人佩服想象力的伟大。虽然我们的视野和思考深度被塑造我们的世界和物质限制住了，在目前的人类发展程度...,大刘这文笔啊，最后林云和她父亲的对话简直像国产悬疑片在交待杀人细节。。。,刘慈欣真是喜欢这种空想型女神，未免YY过了头,当年看这本的目的是想给看三体作准备，谁知看完这本后就没再敢看三体,“这个世界上，已经有人在宇宙漫步，星空是他们最后的坟墓。 相比之下，你那点考试升职亲子关系家庭问题就像屎壳郎找不到合适的粪球一样卑微。”
经济学原理（上下）,9.1,"(
                    13448人评价
                )",简易版,还是曼昆人好．．,非常好的经济学教材 多用图形解决问题 些许翻译错误美中不足 总体来说是非常经典的经济学入门读物 不仅可以当作课本来用 有兴趣的也可以当作科普书来增长一下知识 可惜案例多以西方视角入手 特别讲到宏观部分的时候对中国有些水土不服,经济学入门教材,"呵呵，还不错，不如塞缪尔森
但是曼昆是个才子，这么艰深的经济学，他深入浅出"
银河系漫游指南,8.8,"(
                    16737人评价
                )",Don't Panic!,贫的可爱。好短的小说。印象最深的一句话：人类总是认为自己比海豚聪明，因为他们创造了如此之多的成就—车轮、纽约、战争等等—而海豚所做的全部事情就是在书中游荡。但另一方面，海豚总是认为自己比人类聪明得多——基于几乎完全相同的原因。,笑点太密集了以至于肯定要最少再读一遍XD,好想去搭车，到达奇幻瑰丽得难以预测的陌生星系，去看看“有理论声称，若是有谁真的搞清楚了宇宙为何存在、因何存在，宇宙就会立刻消失，取而代之的则是更怪异、更难以说明的东西。”这样的宇宙。,实在是太红了，有点迫于压力不得不看的意思，可是我开始过三次，每次都看不下去，这次也只坚持了一半 - - - -
倾城之恋,8.7,"(
                    30872人评价
                )",张爱玲的警句颇多啊。《金锁记》便是仿写红楼梦，外国人的题材经她一写倒出了几分奇怪的味道。,若是有一天，我们在这城墙底下相遇了，也许你会对我有一点真心，也许我会对你有一点真心。,我记得这样的爱情,张爱玲文笔的冷峻年岁越长越有体会，只是阿姨对世情看得如此通透刻薄，大概也放不过自己。,和弋谈起，除了金锁记。
解忧杂货店,8.5,"(
                    604657人评价
                )",时空交错和多线索叙事的高端治愈系鸡汤。最后一个故事减一星。预言者教人把握时机炒股和投资房地产的桥段实在是败笔。,一个圆满而完整的故事，没有一点漏洞，构思极其细致精巧，已超越《白夜行》,我想把这本书推荐给我所有重要的人看,这说是张嘉佳写的我也信,其实所有的答案都在自己的心里。 
你当像鸟飞往你的山,9.0,"(
                    24976人评价
                )","

.intro p{text-indent:2em;word-break:normal;}


★ 奇迹！一部新人处女作，上市第一周即登上《纽约时报》畅销榜，至今已累计80周，仍高居Top1，全美销量破百万册，作者因此书被《时代周刊》评为“年度影响力人物” ★ 比尔•盖茨年度荐书 第一名 ★ 美国亚马逊年度编辑选书 第一名 ★《纽约时报》《华尔街日报》《波士顿环球报》畅销书排行 第一名 ★ Goodreads读者票选超越米歇尔《成为》，获年度最佳图书 ★《洛杉矶时报》最佳传记奖 ★《纽约时报》《卫报》《华盛顿邮报》《泰晤士报》《星期日泰晤士报》《经济学人》《奥普拉杂志》、美国国家公共广播电台等二十多家权威媒体 年度图书 一个惊人的故事，真正鼓舞人心。我在阅读她极端的童年故事时，也开始反思起自己的生活。《你当像鸟飞往你的山》每个人都会喜欢。它甚至比你听说的还要好。 ——比尔•盖茨 教育意味着获得不同的视角，理解不同的人、经历和历史。接受教育，但不...(展开全部)
",无法想象塔拉·韦斯特弗的童年竟是在如此扭曲、极端的家庭环境中度过。教育，改变了她的人生，为她打开了新世界的大门，但也使她失去了挚爱的家人。人与人之间观念的冲突和矛盾，即使掌握了再多的思想和理论，却也难以破除。主人公难以想象的传奇经历，两个自我的内心矛盾冲突，加上还不赖的文笔，值得一看。,事情本身比故事更惊艳。当国内一轮心理学科普带来普遍性地对原生家庭的讨伐时，这个故事最能说明厉声讨伐父母之余你有的是机会翻盘改变自己的命运。其实觉得泰勒才是整个家庭里最有勇气和天赋的人，真真切切凭一己之力撬开了厚壁让光透进黑暗之地，才有了塔拉和理查德通过教育改变人生的故事。虽然最后没能看到塔拉和父母和解，但最大的感动来自于看到母亲的回复”你是我的孩子，我本该好好保护你“，格外能体会塔拉看到时”当母亲...,基本是耐着性子读完扭曲的家庭回忆部分，书名educated，但恰恰接受真正教育的着墨少之又少，那些真正的震撼、真正的自省、真正的成长，我不知道作者是认为乏善可陈还是有所隐瞒，我同样惊讶于在十年学业生活中遇到的人全部面目模糊，可能对于作者来说建立一种新的亲密关系颇为困难。中国语境下，这本书给我的触动远没有预想的大，因为中国有太多扭曲的原生家庭，给人带来终生的心理创伤，恐怕更甚。,以教育之名，完成人生救赎。
孽子,9.1,"(
                    12564人评价
                )",最后小玉、阿青和老鼠三人通的书信让人感动。,太沉重于是你选择视而不见。,客观的说，这本书并不能打动我，最多向我展示了一个人群。书里人物我最喜欢小玉，就像现实中我对大多数女人保持距离的同时，尤其偏爱男同性恋中阴柔的那一方，他们敏感，细腻，温柔，富有才情，但也有时暴戾又决绝，性子比野马还烈，有魅力极了，足够让很多女人自惭形秽。,你有没有一刻觉得自己也生活在世界的边缘？期待他人的原谅可以成为救赎？怎么可能。忽然想到一句话，光总觉得自己的速度很快，可是光所到之处，黑暗总是在前面，静静等待。我总期待看到黑暗中的人走到明亮的世界，背负着沉重的人可以得到安宁简单的生活。总是期待着那样的世界。所以，不如放自己和他人一马。,“把悲情磨成金粉”、把阴暗透出光亮的作品。
亮剑,8.9,"(
                    17281人评价
                )",我不得不承认，现在文化确实审的不算严了，这书早几年绝对禁书了,结尾让人胸闷。,"云龙兄,云飞在此！",“现在广播在抗战中曾与李云龙将军协同作战共同抗击日本侵略者的原‘国军’第二战区上校团长、现役‘国军’陆军中将楚云飞的悼念文章，楚将军引用南宋词人刘克庄《满江红》词作为开始：铁马晓嘶营壁冷，楼船夜渡风涛急，有谁怜？猿臂故将军，无功极……”——看到这里我停下来想了想觉得自己大概哭了三四次了。,如果说有什么是让我感到耻辱的，那就是共和国的历史！
激荡三十年,8.6,"(
                    8903人评价
                )",看看时间想想那个时候我在做什么，听有意思的。,经济强劲增长，体制消耗严重,三十年的历史波澜壮阔，看到香港政府与索罗斯之间的大战实在惊心动魄，看到榕树下因为一个小小细节直接被降价十倍收购实在为其不值、看到大邱庄浮浮沉沉最终无力回天不禁掩卷长叹，言而总之，中国从78年到现在谈起自由市场经济还是一头雾水，任你再牛逼的民企，一个政策就能让你倾家荡产众叛亲离。,人是研究历史最有趣的切入点,大致梳理了下时代背景下企业的生存状态，似乎到现在也没有太大的变化，出了IT业，或许下个激荡来自于互联网，已初见端倪，但愿能带来体制之变
